GVOG	num_proteins_in_GVOG	Mean_Length	consensus_NCVOG	NCVOG_descs	consensus_NOGs	nog_descs	nog_categories	consensus_pfams	pfam_descs
GVOG10086	5	132	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG01146	5	49	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG01501	5	453	NCVOG0330	RING-finger-containing E3 ubiquitin ligase	KOG0800 | KOG0802 | 2SUSJ | KOG0827 | KOG4628	ubiquitin-protein transferase activity | protein polyubiquitination | Ring finger | negative regulation of interferon-beta production | protein modification by small protein conjugation or removal	S | O	no_annot	no_annote
GVOG00530	5	167	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG00857	5	847	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG02775	5	256	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG02821	5	73	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG01761	5	74	no_annot	no_annotation	no_annot	no_annote	no_annote	PF05813	; Orthopox_F7; Orthopoxvirus F7 protein
GVOG04516	5	172	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG05223	5	321	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG06651	5	105	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG02061	5	365	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG01101	5	550	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG03483	5	240	NCVOG2190	uncharacterized protein	arCOG03898 | COG3513 | 346B5	COG1403 Restriction endonuclease | CRISPR (clustered regularly interspaced short palindromic repeat) is an adaptive immune system that provides protection against mobile genetic elements (viruses, transposable elements and conjugative plasmids). CRISPR clusters contain spacers, sequences complementary to antecedent mobile elements, and target invading nucleic acids. CRISPR clusters are transcribed and processed into CRISPR RNA (crRNA). In type II CRISPR systems correct processing of pre-crRNA requires a trans-encoded small RNA (tracrRNA), endogenous ribonuclease 3 (rnc) and this protein. The tracrRNA serves as a guide for ribonuclease 3-aided processing of pre-crRNA. Subsequently Cas9 crRNA tracrRNA endonucleolytically cleaves linear or circular dsDNA target complementary to the spacer | unknown	V | L	PF13395 | PF01844	His-Me_finger; HNH_4; HNH endonuclease | His-Me_finger; HNH; HNH endonuclease
GVOG02480	5	345	NCVOG4496	BTB/POZ domain protein	KOG4390 | KOG2715 | KOG2716 | 2SR9U | 2T2MH | 2QUKW | KOG2714 | 2RYZG | 2SWAQ | KOG1665 | 2RZY2 | KOG2723	A-type (transient outward) potassium channel activity | protein homooligomerization | protein homooligomerization | BTB/POZ domain | BTB/POZ domain | BTB/POZ domain | protein homooligomerization | BTB/POZ domain | BTB/POZ domain | protein homooligomerization | BTB/POZ domain | protein homooligomerization	S | P | L | O | J | EG	PF02214	POZ; BTB_2; BTB/POZ domain
GVOG03268	5	90	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG01162	5	435	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG02341	5	900	no_annot	no_annotation	COG3562 | COG3754 | 2S2CY | 2ZRHB	capsule polysaccharide | Rhamnan synthesis protein F | Glycosyltransferase WbsX | Glycosyltransferase WbsX	M | S	PF14307	Glyco_hydro_tim; Glyco_tran_WbsX; Glycosyltransferase WbsX
GVOG10678	5	191	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG07497	5	396	no_annot	no_annotation				no_annot	no_annote
GVOG01100	5	282	no_annot	no_annotation				no_annot	no_annote
GVOG11059	5	403	NCVOG0072 | NCVOG4158	HNH endonuclease | HNH endonuclease	32MNQ | 30IG6 | 335QX | 338R3 | 340MS | 30IP0 | 30IC1 | 33F33 | 330U8 | 32YWU | 32DKM | 30IG3 | 318PV | 30HQ1 | 315SK | 33A3F | 32D7D | 2ZA3C | 30XZ6 | 33P8N | 33AUY | 30J9W | 2SBZD | 33FUJ | 2TGQJ | 30IJX | 32XG5	NUMOD4 motif | HNH endonuclease | unknown | NUMOD3 motif (2 copies) | unknown | NUMOD4 domain protein | NUMOD4 motif | Intron encoded nuclease repeat motif | PFAM Pathogenesis-related transcriptional factor and ERF protein | HNH endonuclease | NUMOD4 motif | Intron encoded nuclease repeat motif | HNH endonuclease | HNH endonuclease | unknown | HNH endonuclease | NUMOD4 motif | HNH endonuclease | HNH endonuclease | HNH endonuclease | HNH endonuclease domain protein | NUMOD4 motif | HNH endonuclease | unknown | HNH endonuclease | HNH endonuclease | PFAM Pathogenesis-related transcriptional factor and ERF	S | L	PF07453 | PF07463 | PF13392	HTH; NUMOD1; NUMOD1 domain | ; NUMOD4; NUMOD4 motif | His-Me_finger; HNH_3; HNH endonuclease
GVOG04039	5	263	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG01750	5	459	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG00805	5	115	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG13565	5	294	NCVOG4126	uncharacterized protein	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG04624	5	334	no_annot	no_annotation	2QW9E | COG3145 | 2R3Q4	RNA N1-methyladenosine dioxygenase activity | DNA-N1-methyladenine dioxygenase activity | 2OG-Fe(II) oxygenase superfamily	L	no_annot	no_annote
GVOG04262	5	212	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG02059	5	255	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG06519	5	220	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG02374	5	95	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG11995	5	201	NCVOG2058 | NCVOG2860 | NCVOG4462 | NCVOG4421 | NCVOG4123 | NCVOG4001 | NCVOG2775 | NCVOG0451 | NCVOG0822 | NCVOG4344 | NCVOG4116 | NCVOG4430 | NCVOG4121 | NCVOG4122	ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein	KOG0508 | KOG0509 | KOG0502 | KOG4591 | 2QUEG | KOG0507 | KOG0505 | KOG0195 | KOG4412 | KOG4214 | KOG3609 | 2SEUK | COG5627 | KOG4369 | KOG0510 | KOG0514 | 2SM5C | arCOG04004 | KOG2421 | KOG0817 | 2QVYS | KOG0512	EP4 subtype prostaglandin E2 receptor binding | protein-cysteine S-palmitoyltransferase activity | nerve growth factor signaling pathway | positive regulation of pinocytosis | spermatogenesis | Ankyrin repeat and sterile alpha motif | positive regulation of myosin-light-chain-phosphatase activity | integrin-mediated signaling pathway | proteasome regulatory particle assembly | regulation of barbed-end actin filament capping | store-operated calcium channel activity | Ankyrin repeats (many copies) | protein ubiquitination | positive regulation of MDA-5 signaling pathway | temperature-gated cation channel activity | negative regulation of vitamin D receptor signaling pathway | unknown | ankyrin repeat | glycerophosphocholine phosphodiesterase activity | fatty-acyl-CoA binding | ankyrin repeats | spermatogenesis	DTZ | C | KLT | S | U | BQ | L | O | G | Z | I | T | J	PF00023 | PF12796 | PF13637 | PF13606 | PF13857	Ank; Ank; Ankyrin repeat | Ank; Ank_2; Ankyrin repeats (3 copies) | Ank; Ank_4; Ankyrin repeats (many copies) | Ank; Ank_3; Ankyrin repeat | Ank; Ank_5; Ankyrin repeats (many copies)
GVOG08141	5	580	NCVOG0050	Esterase lipase superfamily	2SC1Q | KOG1516 | KOG0223 | KOG1515 | arCOG02638 | KOG4389 | COG2272	alpha/beta hydrolase fold | carboxylic ester hydrolase activity | water channel activity | carboxylic ester hydrolase activity | Alpha beta hydrolase | acetylcholinesterase activity | Belongs to the type-B carboxylesterase lipase family	I | S | U	PF00135 | PF07859	AB_hydrolase; COesterase; Carboxylesterase family | AB_hydrolase; Abhydrolase_3; alpha/beta hydrolase fold
GVOG07124	5	478	no_annot	no_annotation	2ZM6H | arCOG01385 | 2QVHP | arCOG01383 | 2R7PV | 2TE0R | 2QPYF	unknown | COG0463 Glycosyltransferases involved in cell wall biogenesis | unknown | PFAM Glycosyl transferase family 2 | unknown | UDP-N-acetylglucosamine 2-epimerase | unknown	M | S	PF00535	GT-A; Glycos_transf_2; Glycosyl transferase family 2
GVOG07313	5	709	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG08187	5	182	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG07496	5	361	NCVOG2757	glycosyltransferase	34627	unknown	S	no_annot	no_annote
GVOG01532	5	517	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG02312	5	455	no_annot	no_annotation	arCOG02624 | arCOG02620 | COG1541	COG1541 Coenzyme F390 synthetase | Coenzyme F390 synthetase | Catalyzes the activation of phenylacetic acid (PA) to phenylacetyl-CoA (PA-CoA)	H	no_annot	no_annote
GVOG12039	5	74	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG05218	5	68	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG02733	5	56	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG02260	5	221	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG02582	5	128	NCVOG4818	uncharacterized protein	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG03865	5	51	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG01108	5	93	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG01530	5	169	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG05698	5	347	NCVOG1100	NTPase/helicase	KOG1812 | KOG1814 | KOG1815	protein polyubiquitination | protein side chain deglutamylation | ubiquitin conjugating enzyme binding	E | J | O	no_annot	no_annote
GVOG05472	5	41	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG00258	5	135	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG00809	5	73	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG05486	5	124	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG04044	5	147	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG00468	5	82	NCVOG0274	DNA-directed RNA polymerase subunit alpha	arCOG04257	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates	K	PF04998	; RNA_pol_Rpb1_5; RNA polymerase Rpb1, domain 5
GVOG01495	5	233	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG02817	5	300	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG01141	5	67	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG01091	5	302	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG00814	5	957	no_annot	no_annotation	2RRKH | 2RXR2 | arCOG02900	von Willebrand factor (vWF) type A domain | hyaluronan metabolic process | von Willebrand factor, type A	S | O	no_annot	no_annote
GVOG04041	5	267	no_annot	no_annotation	33PGU	unknown	S	no_annot	no_annote
GVOG03665	5	531	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG00566	5	109	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG03838	5	290	no_annot	no_annotation	COG2604	Protein of unknown function DUF115	M	no_annot	no_annote
GVOG01155	5	332	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG02812	5	186	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG04494	5	169	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG07656	5	572	NCVOG1201 | NCVOG1200 | NCVOG1205 | NCVOG1203 | NCVOG2123	uncharacterized protein | uncharacterized protein | putative glycosyltransferase | glycosyltransferase | glycosyltransferase	arCOG01385 | COG4641 | COG1216 | arCOG01397 | 2SRIN | 3423P	COG0463 Glycosyltransferases involved in cell wall biogenesis | Protein conserved in bacteria | Glycosyl transferase, family 2 | PFAM Glycosyl transferase family 2 | unknown | unknown	V | M | S	PF00535	GT-A; Glycos_transf_2; Glycosyl transferase family 2
GVOG01138	5	98	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG11098	5	251	NCVOG0330 | NCVOG0070 | NCVOG5406 | NCVOG1360 | NCVOG1364 | NCVOG1424	RING-finger-containing E3 ubiquitin ligase | KilA-N domain protein | zinc finger-like protein | KilA domain (pfam04383) | KilA N-domain protein | uncharacterized domain DUF3627; found downstream KilA, BRO, and MSV199 domains. Also is found in some baculoviruses (gi 165969059, 18138388)	2RGAW | 2S10M | 2SC5Q | 2QS0G | KOG4159 | 2QRND | KOG4628 | KOG4185 | KOG0802 | KOG1039 | 2QSQ8 | 2SDN9 | 2SE7A | KOG1812 | KOG2177 | KOG0298 | KOG0317 | KOG0297 | KOG0825 | KOG0800 | 2RWJJ | KOG4430	regulation of NAD+ ADP-ribosyltransferase activity | RING-type zinc-finger | unknown | unknown | histone H2A-K13 ubiquitination | Zinc finger, C3HC4 type (RING finger) | protein modification by small protein conjugation or removal | zinc ion binding | protein polyubiquitination | protein ubiquitination | methyl-CpNpN binding | Ring finger | RING-type zinc-finger | protein polyubiquitination | zinc ion binding | ATP binding | peroxisome-chloroplast membrane tethering | zinc ion binding | mRNA processing | ubiquitin-protein transferase activity | RING-type zinc-finger | DNA topoisomerase binding	S | B | O | L | V | I | K | J | LO | KL	PF13445 | PF04383 | PF14634 | PF13639 | PF00097	RING; zf-RING_UBOX; RING-type zinc-finger | HTH; KilA-N; KilA-N domain | RING; zf-RING_5; zinc-RING finger domain | RING; zf-RING_2; Ring finger domain | RING; zf-C3HC4; Zinc finger, C3HC4 type (RING finger)
GVOG03276	5	69	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG03471	5	95	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG04706	5	388	no_annot	no_annotation	KOG1448 | arCOG00067 | COG0462	ribose phosphate diphosphokinase activity | Involved in the biosynthesis of the central metabolite phospho-alpha-D-ribosyl-1-pyrophosphate (PRPP) via the transfer of pyrophosphoryl group from ATP to 1-hydroxyl of ribose-5-phosphate (Rib-5-P) | Involved in the biosynthesis of the central metabolite phospho-alpha-D-ribosyl-1-pyrophosphate (PRPP) via the transfer of pyrophosphoryl group from ATP to 1-hydroxyl of ribose-5-phosphate (Rib-5-P)	EF | F	PF00156	PRTase-like; Pribosyltran; Phosphoribosyl transferase domain
GVOG03678	5	272	no_annot	no_annotation	33N82 | KOG2806 | 2S0WK | COG3325	Glycosyl hydrolases family 18 | chitin binding | Glycosyl hydrolases family 18 | Belongs to the glycosyl hydrolase 18 family	S | G	PF00704	Glyco_hydro_tim; Glyco_hydro_18; Glycosyl hydrolases family 18
GVOG09990	5	135	NCVOG0231	MORN repeat proteins and some others	33CTH	MORN repeat variant	S	no_annot	no_annote
GVOG00478	5	105	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG01174	5	36	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG03875	5	171	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG00813	5	201	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG06606	5	136	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG02614	5	143	NCVOG0816	uncharacterized protein	2S6WE | arCOG14976 | COG3323	unknown | unknown | Protein of unknown function (DUF1653)	S | L	no_annot	no_annote
GVOG08490	5	170	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG01085	5	84	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG01460	5	127	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG04070	5	196	no_annot	no_annotation	32EDB	unknown	S	no_annot	no_annote
GVOG01480	5	53	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG01525	5	145	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG05489	5	176	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG00543	5	64	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG05447	5	166	NCVOG0193	uncharacterized protein	2RFWK | 2RZAI | 32VAC | 2Z9R8 | 2RFWJ	unknown | unknown | unknown | unknown | unknown	S	no_annot	no_annote
GVOG11373	5	571	NCVOG4355 | NCVOG0191	uncharacterized protein | uncharacterized protein	2RVVI | 2T26T | 2REZY | 31W73 | 2T1G1 | 2RUYB | 2RWDP | 33FX4 | 33HSI | 2TDN8 | 2TC2Z | 2SC8K | 2RTVN | 2T2XR | 2RS9G | 2S779 | 2RU6P | COG2951 | 2SSSS | 2TM0E | 2T9EV | 2S68A	unknown | unknown | unknown | unknown | unknown | unknown | unknown | unknown | unknown | unknown | unknown | unknown | unknown | unknown | unknown | Hemerythrin HHE cation binding domain | unknown | lytic endotransglycosylase activity | unknown | unknown | unknown | spermatogenesis	M | S	no_annot	no_annote
GVOG09099	5	223	NCVOG0075	Helix-turn-helix XRE-family like protein	arCOG01863 | COG1476 | COG1813	transcription factor, homolog of eukaryotic MBF1 | TRANSCRIPTIONal | peptidyl-tyrosine sulfation	K	PF01381	HTH; HTH_3; Helix-turn-helix
GVOG07642	5	298	NCVOG0284 | NCVOG0305 | NCVOG0304 | NCVOG0282	Serine/Threonine protein kinase | Serine/Threonine or Tyrosine protein kinase (tandem-duplicated in Mimi- and Marseilleviridae) | Serine/Threonine protein kinase | Serine/Threonine protein kinase	2SK2Y | KOG0192 | KOG0660 | KOG0986 | KOG0033 | 2QR0Z | arCOG03682 | KOG0597 | KOG0588 | KOG0690 | KOG0197 | KOG0669 | 2QTCP | KOG0611 | KOG0201 | KOG0615 | KOG4250 | KOG2345 | KOG0661 | KOG0604 | KOG0599 | 2S7F0 | KOG0589 | COG5435 | KOG0601 | KOG0587 | KOG1027 | 2QT06 | 2RYA2 | KOG0596 | KOG1163 | KOG0577 | KOG0586 | KOG4717 | KOG0200 | KOG0662 | KOG1167 | KOG0576 | 2QS1K | KOG0193 | KOG0583 | KOG4645 | KOG0607 | KOG0600 | KOG0595 | KOG0590 | 2TGNF | KOG0032 | KOG0575 | 2SIC4 | 2SEHG | KOG4257 | KOG0658 | KOG4278 | 2QUXB | 2RVD1 | KOG0694 | COG0515 | KOG1164 | KOG0580 | 2SM2J | 2RYE3 | KOG4721 | 2RW7G | 2SE5P | 2SJ73 | KOG0578 | 2R6K4 | KOG2137 | KOG0603 | KOG4279 | 2QU6U | 2QUNW | KOG1989 | KOG0591 | KOG0592 | KOG0581 | 2RSG0 | KOG0664 | 2RZ04 | 2QWDY | KOG0598 | KOG1187 | KOG0594 | KOG1290 | KOG1035 | KOG0614 | 2SNGP | KOG0194 | KOG0574 | KOG0670 | KOG0668 | KOG0671 | KOG4475 | KOG1093 | KOG1033 | KOG0689 | 2STXN | KOG0659 | KOG0667 | KOG0585 | KOG0663 | KOG1152 | KOG0665 | KOG4236 | KOG0666 | 2QQCZ | KOG0198 | KOG0593 | KOG0984 | KOG0616 | KOG1826	Protein tyrosine kinase | protein kinase activity | MAP kinase activity | G-protein coupled receptor kinase activity | calmodulin-dependent protein kinase activity | defense response to oomycetes | Serine threonine protein kinase | positive regulation of hh target transcription factor activity | protein serine/threonine kinase activity | glycogen cell differentiation involved in embryonic placenta development | peptidyl-tyrosine autophosphorylation | regulation of mRNA 3'-UTR binding | protein serine/threonine kinase activity | protein kinase activity | MAP kinase kinase kinase kinase activity | cellular response to bisphenol A | IkappaB kinase activity | protein kinase activity | protein serine/threonine kinase activity | mitogen-activated protein kinase binding | phosphorylase kinase activity | Protein tyrosine kinase | protein serine/threonine kinase activity | protein kinase activity | protein kinase activity | MAP kinase kinase kinase kinase activity | ribonuclease activity | cellular response to molecule of fungal origin | protein serine/threonine kinase activity | protein localization to meiotic spindle midzone | peptidyl-serine phosphorylation | mitotic G2 DNA damage checkpoint | protein serine/threonine kinase activity | protein kinase activity | transmembrane receptor protein tyrosine kinase activity | Belongs to the protein kinase superfamily | Cell division cycle | MAP kinase kinase kinase kinase activity | phloem transport | mitogen-activated protein kinase kinase binding | protein serine/threonine kinase activity | MAP kinase kinase kinase activity | calcium-dependent protein serine/threonine kinase activity | cyclin-dependent protein serine/threonine kinase activity | protein serine/threonine kinase activity | protein serine/threonine kinase activity | Protein kinase domain | protein serine/threonine kinase activity | regulation of centriole replication | Expressed protein | Protein tyrosine kinase | signal complex assembly | protein kinase activity | transitional stage B cell differentiation | protein autophosphorylation | Protein kinase domain | protein kinase C activity | serine threonine protein kinase | protein kinase activity | histone serine kinase activity | Protein kinase domain | Protein tyrosine kinase | MAP kinase kinase kinase activity | protein serine/threonine kinase activity | Protein tyrosine kinase | Protein tyrosine kinase | Rac GTPase binding | Protein tyrosine kinase | receptor internalization involved in canonical Wnt signaling pathway | protein serine/threonine kinase activity | Mitogen-activated protein kinase kinase kinase | calmodulin binding | protein autophosphorylation | clathrin-coated pit assembly | protein serine/threonine kinase activity | 3-phosphoinositide-dependent protein kinase activity | MAP kinase kinase activity | Protein kinase domain | serine phosphorylation of STAT protein | Protein kinase domain | protein serine/threonine kinase activity | protein serine/threonine kinase activity | protein serine/threonine kinase activity | cyclin-dependent protein serine/threonine kinase activity | spliceosomal complex assembly | eukaryotic translation initiation factor 2alpha kinase activity | cGMP-dependent protein kinase activity | Protein tyrosine kinase | non-membrane spanning protein tyrosine kinase activity | hippo signaling | protein kinase activity | protein serine/threonine kinase activity | protein serine/threonine/tyrosine kinase activity | coreceptor activity involved in Wnt signaling pathway, planar cell polarity pathway | regulation of vesicle fusion | regulation of endoplasmic reticulum stress-induced eIF2 alpha phosphorylation | Rho guanyl-nucleotide exchange factor activity | Expressed protein | Belongs to the protein kinase superfamily | protein kinase activity | peptidyl-threonine phosphorylation | cyclin-dependent protein serine/threonine kinase activity | regulation of (1->6)-beta-D-glucan biosynthetic process | JUN phosphorylation | protein kinase D signaling | RNA polymerase II CTD heptapeptide repeat kinase activity | protein serine/threonine kinase activity | MAP kinase kinase kinase activity | cyclin-dependent protein serine/threonine kinase activity | mitogen-activated protein kinase kinase | CAMP-dependent protein kinase catalytic subunit | negative regulation of centriole-centriole cohesion	IQ | Q | E | KLT | M | S | U | F | B | BQ | O | G | H | T | Z | I | J	PF00069 | PF01633 | PF07714	PKinase; Pkinase; Protein kinase domain | PKinase; Choline_kinase; Choline/ethanolamine kinase | PKinase; Pkinase_Tyr; Protein tyrosine kinase
GVOG00562	5	106	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG02090	5	325	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG05679	5	347	NCVOG0038	DNA polymerase elongation subunit family B	KOG0969 | arCOG00328 | KOG0968 | KOG0970	DNA replication proofreading | DNA polymerase | DNA polymerase activity | leading strand elongation	L	PF00136	DNA_pol_B-like; DNA_pol_B; DNA polymerase family B
GVOG01494	5	77	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG02436	5	538	NCVOG4518	2-amino-4-hydroxy-6- hydroxymethyldihydropteridine pyrophosphokinase	COG0294 | arCOG07203 | arCOG01978 | COG1539 | KOG2544 | arCOG02817 | COG0801	Catalyzes the condensation of para-aminobenzoate (pABA) with 6-hydroxymethyl-7,8-dihydropterin diphosphate (DHPt-PP) to form 7,8-dihydropteroate (H2Pte), the immediate precursor of folate derivatives | Dihydroneopterin aldolase | dihydropteroate synthase | Catalyzes the conversion of 7,8-dihydroneopterin to 6- hydroxymethyl-7,8-dihydropterin | 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase activity | dihydropteroate synthase | 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase	H	PF01288 | PF00809	; HPPK; 7,8-dihydro-6-hydroxymethylpterin-pyrophosphokinase (HPPK) | TIM_barrel; Pterin_bind; Pterin binding enzyme
GVOG13000	5	128	NCVOG4128	DNA-directed RNA polymerase, subunit M/ Transcription elongation factor TFIIS	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG08596	5	89	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG01178	5	163	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG04078	5	570	NCVOG4805 | NCVOG4904	uncharacterized protein | uncharacterized protein	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG07515	5	153	NCVOG0771	uncharacterized protein	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG04030	5	271	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG07936	5	264	no_annot	no_annotation	2SQQY | arCOG14740	TupA-like ATPgrasp | TupA-like ATPgrasp	S	PF14305	ATP-grasp; ATPgrasp_TupA; TupA-like ATPgrasp
GVOG07109	5	174	NCVOG0330	RING-finger-containing E3 ubiquitin ligase	2SC5Q | KOG0802 | KOG0320 | KOG0298 | KOG0824 | KOG4159 | KOG4430	unknown | protein polyubiquitination | progesterone receptor binding | ATP binding | poly-ADP-D-ribose binding | histone H2A-K13 ubiquitination | DNA topoisomerase binding	I | S | KL | O | L	PF13920 | PF13639 | PF00097	RING; zf-C3HC4_3; Zinc finger, C3HC4 type (RING finger) | RING; zf-RING_2; Ring finger domain | RING; zf-C3HC4; Zinc finger, C3HC4 type (RING finger)
GVOG00791	5	346	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG05234	5	351	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG00561	5	127	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG07511	5	142	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG01123	5	165	NCVOG5225	uncharacterized protein	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG05686	5	320	NCVOG0037	DNA topoisomerase II	KOG0355 | COG0188 | arCOG04367	DNA topoisomerase type II (ATP-hydrolyzing) activity | A type II topoisomerase that negatively supercoils closed circular double-stranded (ds) DNA in an ATP-dependent manner to modulate DNA topology and maintain chromosomes in an underwound state. Negative supercoiling favors strand separation, and DNA replication, transcription, recombination and repair, all of which involve strand separation. Also able to catalyze the interconversion of other topological isomers of dsDNA rings, including catenanes and knotted rings. Type II topoisomerases break and join 2 DNA strands simultaneously in an ATP-dependent manner | A type II topoisomerase that negatively supercoils closed circular double-stranded (ds) DNA in an ATP-dependent manner to modulate DNA topology and maintain chromosomes in an underwound state. Negative supercoiling favors strand separation, and DNA replication, transcription, recombination and repair, all of which involve strand separation. Also able to catalyze the interconversion of other topological isomers of dsDNA rings, including catenanes and knotted rings. Type II topoisomerases break and join 2 DNA strands simultaneously in an ATP-dependent manner	L	PF00521	; DNA_topoisoIV; DNA gyrase/topoisomerase IV, subunit A
