pVOGs	Host Domain	Number of Sequences	Number of Genomes	Number of Virus Families	Number of Virus Genera	Protein Annotations	Mapping to POGs 2013
VOG10112	Bacteria	3	3	1	0	hypothetical protein	New
VOG10113	Bacteria	3	3	1	0	hypothetical protein	New
VOG10114	Bacteria	3	3	1	0	hypothetical protein	New
VOG10115	Bacteria	3	3	1	0	hypothetical protein	New
VOG10116	Bacteria	3	3	1	0	hypothetical protein; putative predicted product	New
VOG10117	Bacteria	3	3	1	0	hypothetical protein	New
VOG10118	Bacteria	3	3	1	0	hypothetical protein	New
VOG10119	Bacteria	3	3	1	0	hypothetical protein	New
VOG10120	Bacteria	3	3	1	0	hypothetical protein	New
VOG10121	Bacteria	3	3	1	0	hypothetical protein	New
VOG10122	Bacteria	3	3	1	0	hypothetical protein	New
VOG10123	Bacteria	3	3	1	0	hypothetical protein; putative predicted product	New
VOG10124	Bacteria	3	3	1	0	hypothetical protein	New
VOG10125	Bacteria	3	3	1	0	hypothetical protein	New
VOG10126	Bacteria	3	3	1	0	hypothetical protein	New
VOG10127	Bacteria	3	3	1	0	hypothetical protein	New
VOG10128	Bacteria	3	3	1	0	hypothetical protein	New
VOG10129	Bacteria	3	3	1	0	hypothetical protein	New
VOG10130	Bacteria	3	3	1	0	hypothetical protein	New
VOG10131	Bacteria	3	3	1	0	hypothetical protein	New
VOG10132	Bacteria	3	3	1	0	hypothetical protein	New
VOG10133	Bacteria	3	3	1	0	hypothetical protein	New
VOG10134	Bacteria	3	3	1	0	hypothetical protein	New
VOG10135	Bacteria	3	3	1	0	hypothetical protein	New
VOG10136	Bacteria	3	3	1	0	hypothetical protein	New
VOG10137	Bacteria	3	3	1	0	hypothetical protein	New
VOG10138	Bacteria	3	3	1	0	hypothetical protein	New
VOG10139	Bacteria	3	3	1	0	hypothetical protein	New
VOG10140	Bacteria	3	3	1	0	hypothetical protein	New
VOG10141	Bacteria	3	3	1	0	hypothetical protein; putative predicted product	New
VOG10142	Bacteria	3	3	1	0	hypothetical protein	New
VOG10143	Bacteria	3	3	1	0	hypothetical protein	New
VOG10144	Bacteria	3	3	1	0	hypothetical protein	New
VOG10145	Bacteria	3	3	1	0	hypothetical protein	New
VOG10146	Bacteria	3	3	1	0	hypothetical protein	New
VOG10147	Bacteria	3	3	1	0	hypothetical protein	New
VOG10148	Bacteria	3	3	1	0	hypothetical protein	New
VOG10149	Bacteria	3	3	1	0	hypothetical protein	New
VOG10150	Bacteria	3	3	1	0	hypothetical protein	New
VOG10151	Bacteria	3	3	1	0	hypothetical protein	New
VOG10152	Bacteria	3	3	1	0	hypothetical protein	New
VOG10153	Bacteria	3	3	1	0	hypothetical protein	New
VOG10154	Bacteria	3	3	1	1	hypothetical protein	New
VOG10155	Bacteria	3	3	2	1	Very-short-patch mismatch repair endonuclease; Vsr endonuclease; gp46	New
VOG10156	Bacteria	3	3	1	1	hypothetical protein	New
VOG10157	Bacteria	3	3	1	0	putative cytoplasmic protein	New
VOG10158	Bacteria	3	3	1	0	alkaline phosphatase	New
VOG10159	Bacteria	3	3	1	0	hypothetical protein	New
VOG10160	Bacteria	3	3	1	0	hypothetical protein	New
VOG10161	Bacteria	3	3	1	1	baseplate wedge initiator; hypothetical protein	New
VOG10162	Bacteria	3	3	1	0	hypothetical protein	New
VOG10163	Bacteria	3	3	1	0	hypothetical protein	New
VOG10164	Bacteria	3	3	1	0	hypothetical protein	New
VOG10165	Bacteria	3	3	1	0	hypothetical protein	New
VOG10166	Bacteria	3	3	1	0	hypothetical protein	New
VOG10167	Bacteria	3	3	1	1	hypothetical protein; putative predicted product	New
VOG10168	Bacteria	3	3	1	0	hypothetical protein	New
VOG10169	Bacteria	3	3	1	0	hypothetical protein; putative predicted product	New
VOG10170	Bacteria	3	3	1	0	hypothetical protein	New
VOG10171	Bacteria	3	3	1	0	hypothetical protein	New
VOG10172	Bacteria	3	3	2	0	hypothetical protein	New
VOG10173	Bacteria	3	3	1	1	hypothetical protein	New
VOG10174	Bacteria	3	3	1	1	hypothetical protein	New
VOG10175	Bacteria	3	3	1	1	hypothetical protein; putative predicted product	New
VOG10176	Bacteria	3	3	1	1	putative predicted product	New
VOG10177	Bacteria	3	3	1	0	hypothetical protein	New
VOG10178	Bacteria	3	3	1	0	hypothetical protein	New
VOG10179	Bacteria	3	3	1	1	hypothetical protein; putative lipoprotein	New
VOG10180	Bacteria	3	3	2	2	hypothetical protein	New
VOG10181	Bacteria	3	3	1	1	hypothetical protein	New
VOG10182	Bacteria	3	3	1	1	hypothetical protein; putative predicted product	New
VOG10183	Bacteria	3	3	2	0	hypothetical protein	New
VOG10184	Bacteria	3	3	2	0	hypothetical protein	New
VOG10185	Bacteria	3	3	2	0	hypothetical protein	New
VOG10186	Bacteria	3	3	2	0	hypothetical protein	New
VOG10187	Bacteria	3	3	2	0	hypothetical protein	New
VOG10188	Bacteria	3	3	2	0	hypothetical protein	New
VOG10189	Bacteria	3	3	2	0	hypothetical protein	New
VOG10190	Bacteria	3	3	2	0	hypothetical protein	New
VOG10191	Bacteria	3	3	2	0	hypothetical protein	New
VOG10192	Bacteria	3	3	2	0	hypothetical protein; putative major tail protein	New
VOG10193	Bacteria	3	3	2	0	hypothetical protein	New
VOG10194	Bacteria	3	3	2	0	hypothetical protein	New
VOG10195	Bacteria	3	3	2	0	hypothetical protein; putative DNA binding excisionase protein	New
VOG10196	Bacteria	3	3	2	0	hypothetical protein	New
VOG10197	Bacteria	3	3	2	0	hypothetical protein	New
VOG10198	Bacteria	3	3	2	0	hypothetical protein	New
VOG10199	Bacteria	3	3	2	0	hypothetical protein	New
VOG10200	Bacteria	3	3	2	0	hypothetical protein	New
VOG10201	Bacteria	3	3	2	0	hypothetical protein	New
VOG10202	Bacteria	3	3	2	0	hypothetical protein	New
VOG10203	Bacteria	3	3	2	0	hypothetical protein	New
VOG10204	Bacteria	3	3	2	0	hypothetical protein	New
VOG10205	Bacteria	3	3	2	0	hypothetical protein	New
VOG10206	Bacteria	3	3	2	0	hypothetical protein	New
VOG10207	Bacteria	3	3	2	0	hypothetical protein	New
VOG10208	Bacteria	3	3	1	0	hypothetical protein	New
VOG10209	Bacteria	3	3	2	0	JHP1044 mosaic, putative crystallin beta/gamma motif-containing protein; hypothetical protein	New
VOG10210	Bacteria	3	3	1	1	hypothetical protein; putative DNA polymerase subunit	New
VOG10211	Bacteria	3	3	0	0	hypothetical protein	New
VOG10212	Bacteria	3	3	0	0	hypothetical protein; putative predicted product	New
VOG10213	Bacteria	3	3	1	0	putative predicted product	New
VOG10214	Bacteria	3	3	1	0	hypothetical protein	New
VOG10215	Bacteria	3	3	2	1	hypothetical protein; putative HNH homing endonuclease	New
VOG10216	Bacteria	3	3	1	1	gp049; hypothetical protein	New
VOG10217	Bacteria	3	3	2	0	metallo-beta-lactamase domain-containing protein; metallo-beta-lactamase superfamily domain protein	New
VOG10218	Bacteria	3	3	1	1	hypothetical protein; putative predicted product	New
VOG10219	Bacteria	3	3	1	0	hypothetical protein; putative predicted product	New
VOG10220	Bacteria	3	3	1	0	hypothetical protein	New
VOG10221	Bacteria	3	3	1	0	hypothetical protein	New
VOG10222	Bacteria	3	3	1	0	hypothetical protein	New
VOG10223	Bacteria	3	3	1	0	hypothetical protein	New
VOG10224	Bacteria	3	3	1	0	putative SpoVG protein	New
VOG10225	Bacteria	3	3	1	0	hypothetical protein	New
VOG10226	Bacteria	3	3	1	0	hypothetical protein	New
VOG10227	Bacteria	3	3	1	2	C-terminus of phage terminase large subunit; terminase large subunit	New
VOG10228	Bacteria	3	3	1	0	hypothetical protein	New
VOG10229	Bacteria	3	3	2	2	hypothetical protein; putative predicted product	New
VOG10230	Bacteria	3	3	1	1	amidase; hypothetical protein; lysine	New
VOG10231	Bacteria	3	3	1	1	hypothetical protein	New
VOG10232	Bacteria	3	3	1	0	hypothetical protein; putative regulatory protein, ATPase	New
VOG10233	Bacteria	3	3	1	0	hypothetical protein	New
VOG10234	Bacteria	3	3	1	1	hypothetical protein	New
VOG10235	Bacteria	3	3	1	1	hypothetical protein	New
VOG10236	Bacteria	3	3	1	1	hypothetical protein	New
VOG10237	Bacteria	3	3	1	0	helix-turn-helix DNA-binding domain-containing protein; hypothetical protein	New
VOG10238	Bacteria	3	3	1	0	hyphothetical protein; hypothetical protein	New
VOG10239	Bacteria	3	3	1	0	hyphothetical protein; hypothetical protein	New
VOG10240	Bacteria	3	3	2	0	hypothetical protein	New
VOG10241	Bacteria	3	3	1	0	hyphothetical protein; hypothetical protein	New
VOG10242	Bacteria	3	3	1	0	hyphothetical protein; hypothetical protein	New
VOG10243	Bacteria	3	3	1	0	hyphothetical protein; hypothetical protein	New
VOG10244	Bacteria	3	3	1	0	hyphothetical protein; hypothetical protein	New
VOG10245	Bacteria	3	3	1	0	hyphothetical protein; hypothetical protein	New
VOG10246	Bacteria	3	3	1	0	hyphothetical protein; hypothetical membrane protein; putative predicted product	New
VOG10247	Bacteria	3	3	1	0	hypothetical protein	New
VOG10248	Bacteria	3	3	1	0	hypothetical protein	New
VOG10249	Bacteria	3	3	2	1	hypothetical protein	New
VOG10250	Bacteria	3	3	2	0	hypothetical protein	New
VOG10251	Bacteria	3	3	2	1	hypothetical protein; putative predicted product	New
VOG10252	Bacteria	3	3	2	1	gp027; hypothetical protein; putative predicted product	New
VOG10253	Bacteria	3	3	1	1	hypothetical protein; putative predicted product	New
VOG10254	Bacteria	3	3	2	1	CobS porphyrin biosynthetic protein; putative predicted product	New
VOG10255	Bacteria	3	3	1	0	hypothetical protein	New
VOG10256	Bacteria	3	3	1	0	hypothetical protein	New
VOG10257	Bacteria	3	3	1	0	hypothetical protein	New
VOG10258	Bacteria	3	3	2	1	hypothetical protein; putative predicted product	New
VOG10259	Bacteria	3	3	1	1	hypothetical phage membrane protein; hypothetical protein	New
VOG10260	Bacteria	3	3	1	1	hypothetical phage protein; hypothetical protein	New
VOG10261	Bacteria	3	3	1	1	hypothetical phage protein; hypothetical protein	New
VOG10262	Bacteria	3	3	1	1	hypothetical phage protein; hypothetical protein	New
VOG10263	Bacteria	3	3	1	1	hypothetical phage protein; hypothetical protein	New
VOG10264	Bacteria	3	3	1	1	hypothetical phage protein; hypothetical protein; putative tail fiber protein	New
VOG10265	Bacteria	3	3	1	1	hypothetical phage protein; hypothetical protein	New
VOG10266	Bacteria	3	3	1	1	hypothetical phage protein; hypothetical protein	New
VOG10267	Bacteria	3	3	1	1	hypothetical phage protein; hypothetical protein	New
VOG10268	Bacteria	3	3	1	1	hypothetical phage protein; hypothetical protein	New
VOG10269	Bacteria	3	3	1	1	hypothetical phage protein; hypothetical protein	New
VOG10270	Bacteria	3	3	1	1	hypothetical phage protein; hypothetical protein	New
VOG10271	Bacteria	3	3	1	1	hypothetical phage protein; hypothetical protein	New
VOG10272	Bacteria	3	3	1	1	hypothetical phage protein; hypothetical protein	New
VOG10273	Bacteria	3	3	1	1	hypothetical phage membrane protein; hypothetical protein	New
VOG10274	Bacteria	3	3	1	1	hypothetical phage protein; hypothetical protein; putative transketolase	New
VOG10275	Bacteria	3	3	1	1	hypothetical phage protein; hypothetical protein	New
VOG10276	Bacteria	3	3	1	1	hypothetical phage protein; hypothetical protein	New
VOG10277	Bacteria	3	3	1	1	Possible tail sheath protein; putative tail sheat protein (T4 gp18-like)	New
VOG10278	Bacteria	3	3	1	1	hypothetical phage protein; hypothetical protein	New
VOG10279	Bacteria	3	3	1	1	hypothetical phage protein; hypothetical protein	New
VOG10280	Bacteria	3	3	1	1	hypothetical phage protein; hypothetical protein	New
VOG10281	Bacteria	3	3	1	1	hypothetical phage protein; hypothetical protein; putative polysaccharide deacetylase	New
VOG10282	Bacteria	3	3	1	1	hypothetical phage protein; hypothetical protein	New
VOG10283	Bacteria	3	3	1	1	hypothetical phage protein; hypothetical protein	New
VOG10284	Bacteria	3	3	1	1	Possible phage tail tube protein; putative tail tube protein (T4 gp19-like)	New
VOG10285	Bacteria	3	3	1	1	hypothetical phage protein; hypothetical protein; putative transketolase	New
VOG10286	Bacteria	3	3	1	1	hypothetical phage protein; hypothetical protein; putative N-acetylneuraminate pyruvate lyase	New
VOG10287	Bacteria	3	3	1	1	hypothetical phage protein; hypothetical protein	New
VOG10288	Bacteria	3	3	1	1	hypothetical phage protein; hypothetical protein; putative threonine dehydratase	New
VOG10289	Bacteria	3	3	1	1	hypothetical phage protein; hypothetical protein	New
VOG10290	Bacteria	3	3	1	1	hypothetical phage protein; hypothetical protein	New
VOG10291	Bacteria	3	3	1	1	hypothetical phage protein; hypothetical protein	New
VOG10292	Bacteria	3	3	1	1	hypothetical phage protein; hypothetical protein; putative minor tail assembly protein	New
VOG10293	Bacteria	3	3	1	1	hypothetical phage protein; hypothetical protein	New
VOG10294	Bacteria	3	3	1	1	hypothetical phage protein; hypothetical protein; putative UDP-glucose dehydrogenase	New
VOG10295	Bacteria	3	3	1	1	hypothetical phage protein; hypothetical protein	New
VOG10296	Bacteria	3	3	1	1	hypothetical phage protein; hypothetical protein	New
VOG10297	Bacteria	3	3	1	1	hypothetical phage protein; hypothetical protein	New
VOG10298	Bacteria	3	3	1	1	hypothetical phage protein; hypothetical protein; radical SAM domain-containing protein	New
VOG10299	Bacteria	3	3	1	1	hypothetical phage protein; hypothetical protein	New
VOG10300	Bacteria	3	3	1	1	hypothetical phage protein; hypothetical protein	New
VOG10301	Bacteria	3	3	1	1	hypothetical phage membrane protein; hypothetical protein	New
VOG10302	Bacteria	3	3	1	1	hypothetical phage protein; hypothetical protein	New
VOG10303	Bacteria	3	3	1	1	hypothetical phage protein; hypothetical protein	New
VOG10304	Bacteria	3	3	1	1	hypothetical phage exported protein; hypothetical protein	New
VOG10305	Bacteria	3	3	1	1	hypothetical protein; putative predicted product	New
VOG10306	Bacteria	3	3	1	1	hypothetical phage protein; hypothetical protein	New
VOG10307	Bacteria	3	3	1	1	hypothetical phage protein; hypothetical protein	New
VOG10308	Bacteria	3	3	1	1	hypothetical phage protein (Radical SAM family); radical SAM domain-containing protein	New
VOG10309	Bacteria	3	3	1	1	hypothetical phage protein; hypothetical protein	New
VOG10310	Bacteria	3	3	1	1	hypothetical phage protein; hypothetical protein	New
VOG10311	Bacteria	3	3	1	1	hypothetical phage protein; hypothetical protein	New
VOG10312	Bacteria	3	3	1	1	hypothetical phage protein; hypothetical protein	New
VOG10313	Bacteria	3	3	1	1	hypothetical phage protein; hypothetical protein	New
VOG10314	Bacteria	3	3	1	1	hypothetical protein; putative predicted product	New
VOG10315	Bacteria	3	3	1	1	hypothetical phage membrane protein; hypothetical protein	New
VOG10316	Bacteria	3	3	1	1	hypothetical phage protein; hypothetical protein	New
VOG10317	Bacteria	3	3	1	1	hypothetical phage protein (Radical SAM family); radical SAM domain-containing protein	New
VOG10318	Bacteria	3	3	1	1	hypothetical phage protein; hypothetical protein	New
VOG10319	Bacteria	3	3	1	1	hypothetical phage protein; hypothetical protein	New
VOG10320	Bacteria	3	3	1	1	hypothetical phage protein; hypothetical protein	New
VOG10321	Bacteria	3	3	1	1	hypothetical phage protein; hypothetical protein	New
VOG10322	Bacteria	3	3	1	1	hypothetical phage protein; hypothetical protein	New
VOG10323	Bacteria	3	3	1	1	hypothetical phage protein; hypothetical protein	New
VOG10324	Bacteria	3	3	1	1	hypothetical phage membrane protein; hypothetical protein; putative predicted product	New
VOG10325	Bacteria	3	3	1	1	hypothetical phage membrane protein; hypothetical protein	New
VOG10326	Bacteria	3	3	1	1	hypothetical phage protein; hypothetical protein	New
VOG10327	Bacteria	3	3	1	1	hypothetical phage protein; hypothetical protein	New
VOG10328	Bacteria	3	3	1	0	hypothetical protein	New
VOG10329	Bacteria	3	3	1	0	hypothetical protein	New
VOG10330	Bacteria	3	3	1	0	phage holin3 superfamily protein; putative holin	New
VOG10331	Bacteria	3	3	1	0	hypothetical protein	New
VOG10332	Bacteria	3	3	1	1	gp025; hypothetical protein	New
VOG10333	Bacteria	3	3	2	1	hypothetical protein; lysis protein Rz	New
VOG10334	Bacteria	3	3	1	0	hypothetical protein	New
VOG10335	Bacteria	3	3	1	1	hypothetical protein	New
VOG10336	Bacteria	3	3	2	0	hypothetical protein	New
VOG10337	Bacteria	3	3	1	0	hypothetical protein	New
VOG10338	Bacteria	3	3	2	1	hypothetical protein	New
VOG10339	Bacteria	3	3	1	1	hypothetical protein	New
VOG10340	Bacteria	3	3	1	1	hypothetical protein	New
VOG10341	Bacteria	3	3	1	1	hypothetical protein	New
VOG10342	Bacteria	3	3	2	1	HicB family protein; HicB protein	New
VOG10343	Bacteria	3	3	1	1	side tail fiber; side tail fiber protein; tail fiber protein	New
VOG10344	Bacteria	3	3	1	1	hypothetical protein	New
VOG10345	Bacteria	3	3	1	1	hypothetical protein	New
VOG10346	Bacteria	3	3	1	1	gp51; hypothetical protein	New
VOG10347	Bacteria	3	3	1	0	hypothetical protein	New
VOG10348	Bacteria	3	3	1	0	hypothetical protein; putative predicted product	New
VOG10349	Bacteria	3	3	2	0	hypothetical protein	New
VOG10350	Bacteria	3	3	2	0	hypothetical protein	New
VOG10351	Bacteria	3	3	2	0	hypothetical protein	New
VOG10352	Bacteria	3	3	2	0	putative acetyltransferase	New
VOG10353	Bacteria	3	3	2	0	hypothetical protein	New
VOG10354	Bacteria	3	3	2	0	hypothetical protein	New
VOG10355	Bacteria	3	3	2	0	hypothetical protein	New
VOG10356	Bacteria	3	3	2	0	hypothetical protein	New
VOG10357	Bacteria	3	3	2	0	hypothetical protein	New
VOG10358	Bacteria	3	3	2	0	hypothetical protein	New
VOG10359	Bacteria	3	3	2	0	hypothetical protein	New
VOG10360	Bacteria	3	3	2	0	hypothetical protein	New
VOG10361	Bacteria	3	3	2	0	hypothetical protein	New
VOG10362	Bacteria	3	3	2	0	hypothetical protein	New
VOG10363	Bacteria	3	3	2	0	hypothetical protein; putative virion structural protein	New
VOG10364	Bacteria	3	3	2	0	hypothetical protein; putative virion structural protein	New
VOG10365	Bacteria	3	3	2	0	hypothetical protein	New
VOG10366	Bacteria	3	3	2	0	hypothetical protein; putative virion structural protein	New
VOG10367	Bacteria	3	3	2	0	hypothetical protein	New
VOG10368	Bacteria	3	3	2	0	hypothetical protein	New
VOG10369	Bacteria	3	3	2	0	hypothetical protein	New
VOG10370	Bacteria	3	3	2	0	hypothetical protein	New
VOG10371	Bacteria	3	3	2	0	putative radical SAM superfamily protein 2	New
VOG10372	Bacteria	3	3	2	0	hypothetical protein	New
VOG10373	Bacteria	3	3	2	0	hypothetical protein	New
VOG10374	Bacteria	3	3	2	0	hypothetical protein	New
VOG10375	Bacteria	3	3	2	0	hypothetical protein	New
VOG10376	Bacteria	3	3	2	0	hypothetical protein	New
VOG10377	Bacteria	3	3	2	0	hypothetical protein	New
VOG10378	Bacteria	3	3	2	0	hypothetical protein	New
VOG10379	Bacteria	3	3	2	0	hypothetical protein	New
VOG10380	Bacteria	3	3	2	0	hypothetical protein	New
VOG10381	Bacteria	3	3	2	0	hypothetical protein	New
VOG10382	Bacteria	3	3	2	0	hypothetical protein	New
VOG10383	Bacteria	3	3	2	0	hypothetical protein	New
VOG10384	Bacteria	3	3	2	0	hypothetical protein	New
VOG10385	Bacteria	3	3	2	0	hypothetical protein	New
VOG10386	Bacteria	3	3	2	0	hypothetical protein	New
VOG10387	Bacteria	3	3	2	0	hypothetical protein	New
VOG10388	Bacteria	3	3	2	0	hypothetical protein	New
VOG10389	Bacteria	3	3	2	0	hypothetical protein	New
VOG10390	Bacteria	3	3	1	0	hypothetical protein	New
VOG10391	Bacteria	3	3	2	0	hypothetical protein	New
VOG10392	Bacteria	3	3	2	0	hypothetical protein	New
VOG10393	Bacteria	3	3	2	0	hypothetical protein	New
VOG10394	Bacteria	3	3	2	0	hypothetical protein	New
VOG10395	Bacteria	3	3	2	0	hypothetical protein	New
VOG10396	Bacteria	3	3	2	0	hypothetical protein	New
VOG10397	Bacteria	3	3	2	0	hypothetical protein	New
VOG10398	Bacteria	3	3	2	0	hypothetical protein	New
VOG10399	Bacteria	3	3	2	0	hypothetical protein	New
VOG10400	Bacteria	3	3	2	0	hypothetical protein	New
VOG10401	Bacteria	3	3	2	0	hypothetical protein	New
VOG10402	Bacteria	3	3	2	0	hypothetical protein	New
VOG10403	Bacteria	3	3	2	0	hypothetical protein	New
VOG10404	Bacteria	3	3	2	0	hypothetical protein	New
VOG10405	Bacteria	3	3	2	0	hypothetical protein	New
VOG10406	Bacteria	3	3	2	0	hypothetical protein	New
VOG10407	Bacteria	3	3	2	0	hypothetical protein	New
VOG10408	Bacteria	3	3	2	0	hypothetical protein	New
VOG10409	Bacteria	3	3	2	0	hypothetical protein	New
VOG10410	Bacteria	3	3	2	0	hypothetical protein; putative predicted product	New
VOG10411	Bacteria	3	3	2	0	hypothetical protein; putative predicted product	New
VOG10412	Bacteria	3	3	1	0	hypothetical protein	New
VOG10413	Bacteria	3	3	1	1	hypothetical protein	New
VOG10414	Bacteria	3	3	1	0	hypothetical protein; putative predicted product	New
VOG10415	Archaea	3	3	0	0	hypothetical protein	New
VOG10416	Archaea	3	3	0	0	hypothetical protein	New
VOG10417	Archaea	3	3	0	0	hypothetical protein	New
VOG10418	Archaea	3	3	0	0	hypothetical protein	New
VOG10419	Archaea	3	3	0	0	hypothetical protein	New
VOG10420	Archaea	3	3	0	0	hypothetical protein	New
VOG10421	Archaea	3	3	0	0	hypothetical protein	New
VOG10422	Archaea	3	3	0	0	hypothetical protein	New
VOG10423	Archaea	3	3	0	0	hypothetical protein	New
VOG10424	Archaea	3	3	0	0	hypothetical protein	New
VOG10425	Archaea	3	3	0	0	hypothetical protein	New
VOG10426	Archaea	3	3	0	0	hypothetical protein	New
VOG10427	Archaea	3	3	0	0	hypothetical protein	New
VOG10428	Archaea	3	3	0	0	hypothetical protein	New
VOG10429	Archaea	3	3	0	0	Hef and HNH endonuclease; Hef nuclease	New
VOG10430	Archaea	3	3	0	0	hypothetical protein	New
VOG10431	Archaea	3	3	0	0	hypothetical protein	New
VOG10432	Archaea	3	3	0	0	hypothetical protein	New
VOG10433	Archaea	3	3	0	0	hypothetical protein	New
VOG10434	Archaea	3	3	0	0	hypothetical protein	New
VOG10435	Archaea	3	3	0	0	hypothetical protein	New
VOG10436	Archaea	3	3	0	0	hypothetical protein	New
VOG10437	Archaea	3	3	0	0	hypothetical protein	New
VOG10438	Archaea	3	3	0	0	SprT-like protein; hypothetical protein	New
VOG10439	Archaea	3	3	0	0	hypothetical protein	New
VOG10440	Archaea	3	3	0	0	hypothetical protein	New
VOG10441	Archaea	3	3	0	0	hypothetical protein	New
VOG10442	Archaea	3	3	0	0	hypothetical protein	New
VOG10443	Archaea	3	3	0	0	replication factor C large subunit	New
VOG10444	Archaea	3	3	0	0	hypothetical protein	New
VOG10445	Archaea	3	3	0	0	hypothetical protein	New
VOG10446	Archaea	3	3	0	0	hypothetical protein	New
VOG10447	Archaea	3	3	0	0	hypothetical protein	New
VOG10448	Archaea	3	3	0	0	RadA; hypothetical protein	New
VOG10449	Archaea	3	3	0	0	hypothetical protein	New
VOG10450	Archaea	3	3	0	0	hypothetical protein	New
VOG10451	Archaea	3	3	0	0	hypothetical protein	New
VOG10452	Archaea	3	3	0	0	hypothetical protein; portal protein	New
VOG10453	Archaea	3	3	0	0	gpF-like protein; head assembly	New
VOG10454	Archaea	3	3	0	0	zeta toxin; zeta toxin and ParB nuclease domain protein; zeta toxin domain protein	New
VOG10455	Archaea	3	3	0	0	hypothetical protein; prohead protease	New
VOG10456	Archaea	3	3	0	0	major capsid protein	New
VOG10457	Archaea	3	3	0	0	hypothetical protein	New
VOG10458	Archaea	3	3	0	0	hypothetical protein	New
VOG10459	Archaea	3	3	0	0	hypothetical protein	New
VOG10460	Archaea	3	3	0	0	hypothetical protein; tail assembly chaperone	New
VOG10461	Archaea	3	3	0	0	hypothetical protein	New
VOG10462	Archaea	3	3	0	0	RNAse HI; RNase HI; hypothetical protein	New
VOG10463	Archaea	3	3	0	0	hypothetical protein	New
VOG10464	Archaea	3	3	0	0	hypothetical protein	New
VOG10465	Archaea	3	3	0	0	hypothetical protein	New
VOG10466	Archaea	3	3	0	0	hypothetical protein	New
VOG10467	Archaea	3	3	0	0	hypothetical protein	New
VOG10468	Archaea	3	3	0	0	hypothetical protein	New
VOG10469	Archaea	3	3	0	0	hypothetical protein	New
VOG10470	Bacteria	3	3	1	1	hypothetical protein; putative predicted product	New
VOG10471	Bacteria	3	3	1	0	DNA polymerase; hypothetical protein	New
VOG10472	Bacteria	3	3	1	0	hypothetical protein	New
VOG10473	Bacteria	3	3	1	0	hypothetical protein	New
VOG10474	Bacteria	3	3	1	0	hypothetical protein	New
VOG10475	Bacteria	3	3	1	0	hypothetical protein	New
VOG10476	Bacteria	3	3	1	0	hypothetical protein	New
VOG10477	Bacteria	3	3	1	0	hypothetical protein	New
VOG10478	Bacteria	3	3	1	0	hypothetical protein	New
VOG10479	Bacteria	3	3	1	0	hypothetical protein	New
VOG10480	Bacteria	3	3	1	0	hypothetical protein	New
VOG10481	Bacteria	3	3	1	1	hypothetical protein	New
VOG10482	Bacteria	3	3	1	0	hypothetical protein	New
VOG10483	Bacteria	3	3	1	0	hypothetical protein	New
VOG10484	Bacteria	3	3	1	0	hypothetical protein	New
VOG10485	Bacteria	3	3	1	0	hypothetical protein	New
VOG10486	Bacteria	3	3	1	0	hypothetical protein	New
VOG10487	Bacteria	3	3	1	0	hypothetical protein	New
VOG10488	Bacteria	3	3	1	0	hypothetical protein	New
VOG10489	Bacteria	3	3	1	0	hypothetical protein; structural protein	New
VOG10490	Bacteria	3	3	1	0	hypothetical protein; structural protein	New
VOG10491	Bacteria	3	3	1	0	hypothetical protein; structural protein	New
VOG10492	Bacteria	3	3	1	0	hypothetical protein; structural protein	New
VOG10493	Bacteria	3	3	1	0	hypothetical protein; structural protein	New
VOG10494	Bacteria	3	3	1	0	hypothetical protein	New
VOG10495	Bacteria	3	3	1	0	hypothetical protein; putative tail protein	New
VOG10496	Bacteria	3	3	1	0	hypothetical protein; structural protein	New
VOG10497	Bacteria	3	3	1	0	hypothetical protein; structural protein	New
VOG10498	Bacteria	3	3	0	0	hypothetical protein	New
VOG10499	Bacteria	3	3	1	1	hypothetical protein	New
VOG10500	Bacteria	3	3	1	0	hypothetical protein	New
VOG10501	Bacteria	3	3	1	0	hypothetical protein	New
VOG10502	Bacteria	3	3	1	1	gp43; hypothetical protein	New
VOG10503	Bacteria	3	3	1	1	gp47; hypothetical protein	New
VOG10504	Bacteria	3	3	1	1	gp57; hypothetical protein	New
VOG10505	Bacteria	3	3	1	0	hypothetical protein	New
VOG10506	Bacteria	3	3	1	0	hypothetical protein; putative predicted product	New
VOG10507	Bacteria	3	3	1	0	hypothetical protein	New
VOG10508	Bacteria	3	3	0	0	hypothetical protein	New
VOG10509	Bacteria	3	3	1	1	hypothetical protein	New
VOG10510	Bacteria	3	3	1	0	hypothetical protein	New
VOG10511	Bacteria	3	3	1	0	hypothetical protein	New
VOG10512	Archaea	3	3	0	0	capsid protein; major capsid protein	New
VOG10513	Archaea	3	3	0	0	hypothetical protein	New
VOG10514	Bacteria	3	3	1	0	hypothetical protein	New
VOG10515	Bacteria	3	3	1	0	hypothetical protein; putative predicted product	New
VOG10516	Archaea	3	3	0	0	hypothetical protein	New
VOG10517	Bacteria	3	3	1	0	hypothetical protein; putative predicted product	New
VOG10518	Bacteria	3	3	1	0	hypothetical protein	New
VOG10519	Bacteria	3	3	2	1	gp108; gp137; hypothetical protein	New
VOG10520	Bacteria	3	3	2	0	putative tail fiber protein; tail fiber protein	New
VOG10521	Bacteria	3	3	1	1	hypothetical protein	New
VOG10522	Bacteria	3	3	1	0	DUF3800 domain protein; DUF3800 domain-containing protein; Gp21 protein	New
