L1	L2	L3	KO	Function	EC
Signal transduction mechanisms	DNA-binding response regulator, ActR/RegA family, consists of REC and Fis-type HTH domains		COG4567	:	
Transcription	DNA-binding response regulator, ActR/RegA family, consists of REC and Fis-type HTH domains		COG4567	:	
Transcription	Transcriptional antiterminator Rof (Rho-off)		COG4568	Rof:	
Secondary metabolites biosynthesis, transport and catabolism	Acetaldehyde dehydrogenase (acetylating)		COG4569	MhpF:	
Replication, recombination and repair	Holliday junction resolvase RusA (prophage-encoded endonuclease)		COG4570	RusA:	
Cell wall/membrane/envelope biogenesis	Outer membrane protease		COG4571	OmpT:	
Inorganic ion transport and metabolism	Cation transport regulator ChaB		COG4572	ChaB:	
Carbohydrate transport and metabolism	Tagatose-1,6-bisphosphate aldolase non-catalytic subunit AgaZ/GatZ		COG4573	GatZ:	
Posttranslational modification, protein turnover, chaperones	Serine protease inhibitor ecotin		COG4574	Eco:	
Translation, ribosomal structure and biogenesis	Membrane-anchored ribosome-binding protein ElaB, inhibits growth in stationary phase, YqjD/DUF883 family		COG4575	ElaB:	
Secondary metabolites biosynthesis, transport and catabolism	Carboxysome shell and ethanolamine utilization microcompartment protein CcmK/EutM		COG4576	CcmL:	
Energy production and conversion	Carboxysome shell and ethanolamine utilization microcompartment protein CcmK/EutM		COG4576	CcmL:	
Secondary metabolites biosynthesis, transport and catabolism	Carboxysome shell and ethanolamine utilization microcompartment protein CcmL/EutN		COG4577	CcmK:	
Energy production and conversion	Carboxysome shell and ethanolamine utilization microcompartment protein CcmL/EutN		COG4577	CcmK:	
Transcription	DNA-binding transcriptional regulator of glucitol operon		COG4578	GutM:	
Signal transduction mechanisms	Isocitrate dehydrogenase kinase/phosphatase		COG4579	AceK:	
Carbohydrate transport and metabolism	Maltoporin (phage lambda and maltose receptor)		COG4580	LamB:	
Replication, recombination and repair	Superfamily II RNA helicase		COG4581	Dob10:	
Cell cycle control, cell division, chromosome partitioning	Cell division protein ZapD, interacts with FtsZ		COG4582	ZapD:	
Amino acid transport and metabolism	Sarcosine oxidase gamma subunit		COG4583	SoxG:	
Mobilome: prophages, transposons	Transposase		COG4584	:	
Signal transduction mechanisms	Signal transduction histidine kinase ComP		COG4585	ComP:	
General function prediction only	ABC-type uncharacterized transport system, ATPase component		COG4586	:	
General function prediction only	ABC-type uncharacterized transport system, permease component		COG4587	:	
Cell wall/membrane/envelope biogenesis	Accessory colonization factor AcfC, contains ABC-type periplasmic domain		COG4588	AcfC:	
General function prediction only	Predicted CDP-diglyceride synthetase/phosphatidate cytidylyltransferase		COG4589	YnbB:	
General function prediction only	ABC-type uncharacterized transport system, permease component		COG4590	:	
Cell wall/membrane/envelope biogenesis	ABC-type transport system involved in lipoprotein release, permease component LolC		COG4591	LolE:	
Inorganic ion transport and metabolism	ABC-type Fe2+-enterobactin transport system, periplasmic component		COG4592	FepB:	
Inorganic ion transport and metabolism	ABC-type Fe3+-citrate transport system, periplasmic component		COG4594	FecB:	
Amino acid transport and metabolism	ABC-type amino acid transport system, permease component		COG4597	BatB:	
Amino acid transport and metabolism	ABC-type histidine transport system, ATPase component		COG4598	HisP:	
Nucleotide transport and metabolism	ABC-type guanosine uptake system NupNOPQ, permease component NupP		COG4603	NupP:	
Inorganic ion transport and metabolism	ABC-type enterochelin transport system, ATPase component		COG4604	CeuD:	
Inorganic ion transport and metabolism	ABC-type enterochelin transport system, permease component		COG4605	CeuC:	
Inorganic ion transport and metabolism	ABC-type enterochelin transport system, permease component		COG4606	CeuB:	
Inorganic ion transport and metabolism	ABC-type enterochelin transport system, periplasmic component		COG4607	CeuA:	
Amino acid transport and metabolism	ABC-type oligopeptide transport system, ATPase component		COG4608	AppF:	
Inorganic ion transport and metabolism	ABC-type siderophore export system, fused ATPase and permease components		COG4615	PvdE:	
Intracellular trafficking, secretion, and vesicular transport	ABC-type protease/lipase transport system, ATPase and permease components		COG4618	ArpD:	
Inorganic ion transport and metabolism	ABC-type iron transporter FetAB, ATPase component		COG4619	FetA:	
Cell wall/membrane/envelope biogenesis	Membrane-bound lytic murein transglycosylase MltF		COG4623	MltF:	
Signal transduction mechanisms	Membrane-bound lytic murein transglycosylase MltF		COG4623	MltF:	
Energy production and conversion	Iron only hydrogenase large subunit, C-terminal domain		COG4624	Nar1:	
Function unknown	Uncharacterized conserved protein, contains a C-terminal beta-barrel porin domain		COG4625	:	
Mobilome: prophages, transposons	Phage terminase-like protein, large subunit, contains N-terminal HTH domain		COG4626	YmfN:	
General function prediction only	Predicted SAM-depedendent methyltransferase		COG4627	:	
Function unknown	Uncharacterized conserved protein, DUF2132 family		COG4628	:	
Nucleotide transport and metabolism	Xanthine dehydrogenase, Fe-S cluster and FAD-binding subunit XdhA		COG4630	XdhA:	
Nucleotide transport and metabolism	Xanthine dehydrogenase, molybdopterin-binding subunit XdhB		COG4631	XdhB:	
Carbohydrate transport and metabolism	Sugar-P-sugar glycosidase (uncovering enzyme, UCE), NAGPA superfamily		COG4632	NAGPA:	
General function prediction only	Plastocyanin domain containing protein		COG4633	:	
General function prediction only	Predicted nuclease, contains PIN domain, potential toxin-antitoxin system component		COG4634	:	
Coenzyme transport and metabolism	Protoporphyrinogen IX oxidase, menaquinone-dependent (flavodoxin domain)		COG4635	HemG:	
General function prediction only	Endonuclease, Uma2 family (restriction endonuclease fold)		COG4636	Uma2:	
General function prediction only	Predicted ATPase		COG4637	:	
Inorganic ion transport and metabolism	Phenylpropionate dioxygenase or related ring-hydroxylating dioxygenase, large terminal subunit		COG4638	HcaE:	
General function prediction only	Phenylpropionate dioxygenase or related ring-hydroxylating dioxygenase, large terminal subunit		COG4638	HcaE:	
General function prediction only	Predicted kinase		COG4639	:	
Function unknown	Uncharacterized protein YvbJ, contains N-terminal Zn ribbon domain		COG4640	YvbJ:	
Cell cycle control, cell division, chromosome partitioning	Spore maturation protein CgeB		COG4641	:	
Function unknown	Uncharacterized conserved protein		COG4642	:	
Mobilome: prophages, transposons	Uncharacterized domain associated with phage/plasmid primase		COG4643	:	
Mobilome: prophages, transposons	Transposase and inactivated derivatives, TnpA family		COG4644	:	
General function prediction only	Predicted acyltransferase		COG4645	OpgC:	
Replication, recombination and repair	Adenine-specific DNA methylase, N12 class		COG4646	:	
Secondary metabolites biosynthesis, transport and catabolism	Acetone carboxylase, gamma subunit		COG4647	AcxC:	
Function unknown	Uncharacterized membrane protein		COG4648	:	
Function unknown	TPR-like repeat domain		COG4649	TPR1:	
Transcription	Sigma54-dependent transcription regulator containing an AAA-type ATPase domain and a DNA-binding domain		COG4650	RtcR:	
Signal transduction mechanisms	Sigma54-dependent transcription regulator containing an AAA-type ATPase domain and a DNA-binding domain		COG4650	RtcR:	
Inorganic ion transport and metabolism	Predicted Kef-type K+ transport protein, K+/H+ antiporter domain		COG4651	RosB:	
Function unknown	Uncharacterized conserved protein, DUF1430 domain		COG4652	:	
Mobilome: prophages, transposons	Predicted phage phi-C31 gp36 major capsid-like protein		COG4653	gp36:	
Energy production and conversion	Cytochrome c551/c552		COG4654	CytC552:	
General function prediction only	Uncharacterized conserved protein, contains TadX/Tad_C domain		COG4655	TadX:	
Energy production and conversion	Na+-translocating ferredoxin:NAD+ oxidoreductase  RNF, RnfC subunit		COG4656	RnfC:Na+-translocating Fd:NADH oxidoreductase	
Energy production and conversion	Na+-translocating ferredoxin:NAD+ oxidoreductase RNF, RnfA subunit		COG4657	RnfA:Na+-translocating Fd:NADH oxidoreductase	
Energy production and conversion	Na+-translocating ferredoxin:NAD+ oxidoreductase  RNF, RnfD subunit		COG4658	RnfD:Na+-translocating Fd:NADH oxidoreductase	
Energy production and conversion	Na+-translocating ferredoxin:NAD+ oxidoreductase RNF, RnfG subunit		COG4659	RnfG:Na+-translocating Fd:NADH oxidoreductase	
Energy production and conversion	Na+-translocating ferredoxin:NAD+ oxidoreductase  RNF, RnfE subunit		COG4660	RnfE:Na+-translocating Fd:NADH oxidoreductase	
Inorganic ion transport and metabolism	ABC-type tungstate transport system, periplasmic component		COG4662	TupA:	
Secondary metabolites biosynthesis, transport and catabolism	TRAP-type mannitol/chloroaromatic compound transport system, periplasmic component		COG4663	FcbT1:	
Secondary metabolites biosynthesis, transport and catabolism	TRAP-type mannitol/chloroaromatic compound transport system, large permease component		COG4664	FcbT3:	
Secondary metabolites biosynthesis, transport and catabolism	TRAP-type mannitol/chloroaromatic compound transport system, small permease component		COG4665	FcbT2:	
General function prediction only	TRAP-type uncharacterized transport system, fused permease components		COG4666	:	
Lipid transport and metabolism	Predicted phospholipase, patatin/cPLA2 family		COG4667	YjjU:	
Carbohydrate transport and metabolism	Mannitol/fructose-specific phosphotransferase system, IIA domain		COG4668	MtlA2:	
Intracellular trafficking, secretion, and vesicular transport	Type III secretory pathway, lipoprotein EscJ		COG4669	EscJ:	
Lipid transport and metabolism	Acyl CoA:acetate/3-ketoacid CoA transferase		COG4670	YdiF:	
General function prediction only	Predicted glycosyl transferase		COG4671	:	
Mobilome: prophages, transposons	Phage tail protein		COG4672	gp18:	
General function prediction only	ABC-type uncharacterized transport system, ATPase component		COG4674	:	
Mobilome: prophages, transposons	Phage tail collar domain		COG4675	MdpB:	
Function unknown	Uncharacterized conserved protein YfaP, DUF2135 family		COG4676	YfaP:	
Carbohydrate transport and metabolism	Pectin methylesterase and related acyl-CoA thioesterases		COG4677	PemB:	
Lipid transport and metabolism	Pectin methylesterase and related acyl-CoA thioesterases		COG4677	PemB:	
Cell wall/membrane/envelope biogenesis	Muramidase (phage lambda lysozyme)		COG4678	:	
Mobilome: prophages, transposons	Muramidase (phage lambda lysozyme)		COG4678	:	
Mobilome: prophages, transposons	Phage-related protein		COG4679	:	
Translation, ribosomal structure and biogenesis	mRNA-degrading endonuclease (mRNA interferase) HigB, toxic component of the HigAB toxin-antitoxin module		COG4680	HigB:	
Defense mechanisms	mRNA-degrading endonuclease (mRNA interferase) HigB, toxic component of the HigAB toxin-antitoxin module		COG4680	HigB:	
Function unknown	Uncharacterized conserved protein YaeQ, suppresses RfaH defect		COG4681	YaeQ:	
Function unknown	Uncharacterized membrane protein YiaA		COG4682	YiaA:	
Function unknown	Uncharacterized conserved protein		COG4683	:	
Function unknown	Uncharacterized membrane protein		COG4684	:	
Function unknown	Uncharacterized conserved protein YfaA, DUF2138 family		COG4685	YfaA:	
Function unknown	Uncharacterized conserved protein		COG4687	:	
Function unknown	Uncharacterized conserved protein		COG4688	:	
Secondary metabolites biosynthesis, transport and catabolism	Acetoacetate decarboxylase		COG4689	Adc:	
Amino acid transport and metabolism	Dipeptidase		COG4690	PepD:	
Defense mechanisms	Plasmid stability protein StbC1, contains ribbon-helix-helix domain		COG4691	StbC1:	
Carbohydrate transport and metabolism	Predicted neuraminidase (sialidase)		COG4692	:	
Cell wall/membrane/envelope biogenesis	Predicted neuraminidase (sialidase)		COG4692	:	
Inorganic ion transport and metabolism	Oxidoreductase (NAD-binding), involved in siderophore biosynthesis		COG4693	PchG:	
Translation, ribosomal structure and biogenesis	Wobble nucleotide-excising tRNase		COG4694	RloC:	
Mobilome: prophages, transposons	Phage portal protein BeeE		COG4695	BeeE:	
Nucleotide transport and metabolism	NTP pyrophosphatase, MazG superfamily		COG4696	MazG2:	
Function unknown	Uncharacterized conserved protein, DUF2139 domain		COG4697	:	
Function unknown	Uncharacterized conserved protein YpmS, DUF2140 family		COG4698	YpmS:	
Function unknown	Uncharacterized conserved protein, DUF1033 domain		COG4699	:	
Function unknown	Uncharacterized conserved protein ECs_4300, contains TPR-like domain		COG4700	:	
Function unknown	Uncharacterized conserved protein		COG4701	:	
Function unknown	Uncharacterized conserved protein, UPF0303 family		COG4702	:	
Function unknown	Uncharacterized conserved protein YkuJ, DUF1797 family		COG4703	YkuJ:	
Function unknown	Uncharacterized conserved protein, DUF2141 family		COG4704	:	
Function unknown	Uncharacterized membrane-anchored protein		COG4705	:	
Lipid transport and metabolism	Predicted 3-hydroxylacyl-ACP dehydratase, HotDog domain		COG4706	:	
Mobilome: prophages, transposons	Prophage pi2 protein 07		COG4707	:	
Nucleotide transport and metabolism	ECF-type transporter of queuosine precursor, membrane (S) component		COG4708	QueT:	
Translation, ribosomal structure and biogenesis	ECF-type transporter of queuosine precursor, membrane (S) component		COG4708	QueT:	
Function unknown	Uncharacterized membrane protein		COG4709	:	
General function prediction only	Predicted DNA-binding protein with an HTH domain		COG4710	:	
Function unknown	Uncharacterized membrane protein		COG4711	:	
Replication, recombination and repair	Predicted ssDNA annealing protein, contains HHH motif, Rad42/Rad22/RecT/erf family		COG4712	DdrA:	
Function unknown	Uncharacterized membrane protein		COG4713	:	
Function unknown	Uncharacterized membrane-anchored protein		COG4714	:	
Function unknown	Uncharacterized protein, contains SWIM-type Zn finger domain		COG4715	SWIM:	
Function unknown	Myosin-crossreactive antigen  (function unknown)		COG4716	:	
Function unknown	Uncharacterized conserved protein YhaN, contains AAA domain		COG4717	YhaN:	
Mobilome: prophages, transposons	Phage tail protein		COG4718	:	
Function unknown	Uncharacterized conserved protein, UCP014979 family		COG4719	:	
Coenzyme transport and metabolism	ECF-type riboflavin transporter, membrane (S) component		COG4720	ECF-S:	
Coenzyme transport and metabolism	ABC-type thiamine/hydroxymethylpyrimidine transport system, permease component		COG4721	YkoE:	
Mobilome: prophages, transposons	Phage-related protein YomH		COG4722	YomH:	
Mobilome: prophages, transposons	Phage-related protein, tail assembly protein I		COG4723	:	
Carbohydrate transport and metabolism	Endo-beta-N-acetylglucosaminidase D		COG4724	:	
Translation, ribosomal structure and biogenesis	N6-adenosine-specific RNA methylase IME4		COG4725	IME4:	
Cell motility	Type IV pilus assembly protein PilX		COG4726	PilX:	
Extracellular structures	Type IV pilus assembly protein PilX		COG4726	PilX:	
Function unknown	Uncharacterized conserved protein, DUF2145 domain		COG4727	:	
Function unknown	Uncharacterized conserved protein, DUF1653 family		COG4728	:	
Function unknown	Uncharacterized conserved protein, DUF1850 family		COG4729	:	
Function unknown	Uncharacterized conserved protein, DUF2147 family		COG4731	:	
Coenzyme transport and metabolism	ECF-type thiazole transporter, membrane (S) component ThiW		COG4732	ThiW:	
Mobilome: prophages, transposons	Phage-related protein, tail protein J		COG4733	:	
Defense mechanisms	Antirestriction protein ArdA		COG4734	ArdA:	
Function unknown	Uncharacterized conserved protein YaaW, UPF0174 family		COG4735	YaaW:	
Energy production and conversion	Cbb3-type cytochrome oxidase, subunit 3		COG4736	CcoQ:	
Function unknown	Uncharacterized conserved protein		COG4737	:	
Transcription	Predicted transcriptional regulator		COG4738	:	
Function unknown	Uncharacterized conserved protein, contains ferredoxin domain		COG4739	:	
General function prediction only	Predicted metalloprotease		COG4740	:	
Nucleotide transport and metabolism	Predicted secreted endonuclease distantly related to archaeal Holliday junction resolvase		COG4741	:	
Transcription	Predicted transcriptional regulator, contains HTH domain		COG4742	:	
Function unknown	Uncharacterized membrane protein, DUF1616 domain		COG4743	:	
Function unknown	Uncharacterized conserved protein, DUF2149 domain		COG4744	:	
General function prediction only	Predicted membrane-bound mannosyltransferase, involved in protein glycosylation		COG4745	PMT:	
Function unknown	Uncharacterized conserved protein		COG4746	:	
General function prediction only	ACT domain-containing protein		COG4747	ACTx2:	
Function unknown	Uncharacterized conserved protein, contains restriction enzyme R protein N terminal (HSDR_N) domain		COG4748	:	
Function unknown	Uncharacterized conserved protein, DUF2150 domain		COG4749	:	
Cell wall/membrane/envelope biogenesis	CTP:phosphocholine cytidylyltransferase LicC		COG4750	LicC:	
Lipid transport and metabolism	CTP:phosphocholine cytidylyltransferase LicC		COG4750	LicC:	
Function unknown	Uncharacterized conserved protein		COG4752	:	
Signal transduction mechanisms	Two-component response regulator, YesN/AraC family, consists of REC and AraC-type DNA-binding domains		COG4753	YesN:	
Transcription	Two-component response regulator, YesN/AraC family, consists of REC and AraC-type DNA-binding domains		COG4753	YesN:	
General function prediction only	Extracellular substrate-binding protein		COG4754	:	
Function unknown	Uncharacterized conserved protein, DUF2153 domain		COG4755	:	
General function prediction only	Predicted cation transporter		COG4756	:	
General function prediction only	Predicted alpha/beta hydrolase		COG4757	:	
Signal transduction mechanisms	Membrane protein LiaF, inhibitor of the LiaRS two-component envelope stress sensory system		COG4758	LiaF:	
General function prediction only	Uncharacterized conserved protein, contains thioredoxin-like domain		COG4759	:	
Function unknown	Uncharacterized membrane protein, YccA/Bax inhibitor family		COG4760	:	
Function unknown	Uncharacterized conserved protein, UPF0548 family		COG4762	:	
Function unknown	Uncharacterized membrane protein YcfT		COG4763	YcfT:	
General function prediction only	Predicted transglycosylase, contains SLT domain		COG4764	SLT:	
Function unknown	Uncharacterized conserved protein, DUF2155 domain		COG4765	:	
Amino acid transport and metabolism	Ethanolamine utilization protein EutQ, cupin superfamily (function unknown)		COG4766	EutQ:	
Defense mechanisms	Glycopeptide antibiotics resistance protein		COG4767	VanZ:	
Function unknown	Uncharacterized conserved protein YoxC, contains an MCP-like domain		COG4768	:	
Function unknown	Uncharacterized membrane protein		COG4769	:	
Lipid transport and metabolism	Acetyl/propionyl-CoA carboxylase, alpha subunit		COG4770	PccA:	
Inorganic ion transport and metabolism	Outer membrane receptor for ferrienterochelin and colicins		COG4771	FepA:	
Inorganic ion transport and metabolism	Outer membrane receptor for Fe3+-dicitrate		COG4772	FecA:	
Inorganic ion transport and metabolism	Outer membrane receptor for ferric coprogen and ferric-rhodotorulic acid		COG4773	FhuE:	
Inorganic ion transport and metabolism	Outer membrane receptor for monomeric catechols		COG4774	Fiu:	
Cell wall/membrane/envelope biogenesis	Outer membrane protein assembly factor BamA		COG4775	BamA:	
Transcription	Exoribonuclease II		COG4776	Rnb:	
Inorganic ion transport and metabolism	Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnL		COG4778	PhnL:	
Inorganic ion transport and metabolism	ABC-type enterobactin transport system, permease component		COG4779	FepG:	
Lipid transport and metabolism	Membrane-anchored glycerophosphoryl diester phosphodiesterase (GDPDase), membrane domain		COG4781	UgpQ1:	
General function prediction only	Esterase/lipase superfamily enzyme		COG4782	:	
Cell wall/membrane/envelope biogenesis	Outer membrane protein chaperone/metalloprotease BepA/YfgC, contains M48 and TPR domains		COG4783	BepA:	
Posttranslational modification, protein turnover, chaperones	Outer membrane protein chaperone/metalloprotease BepA/YfgC, contains M48 and TPR domains		COG4783	BepA:	
General function prediction only	Putative Zn-dependent protease		COG4784	:	
Cell wall/membrane/envelope biogenesis	Lipoprotein NlpI, contains TPR repeats		COG4785	NlpI:	
Cell motility	Flagellar basal body rod protein FlgG		COG4786	FlgG:	
Cell motility	Flagellar basal body rod protein FlgF		COG4787	FlgF:	
Intracellular trafficking, secretion, and vesicular transport	Type III secretory pathway, component EscV		COG4789	EscV:	
Intracellular trafficking, secretion, and vesicular transport	Type III secretory pathway, EscR/YscR component		COG4790	EscR:	
Intracellular trafficking, secretion, and vesicular transport	Type III secretory pathway, EscT/YscT component		COG4791	EscT:	
Intracellular trafficking, secretion, and vesicular transport	Type III secretory pathway, EscU/YscU component		COG4792	EscU:	
Intracellular trafficking, secretion, and vesicular transport	Type III secretory pathway, EscS/YscS component		COG4794	EscS:	
Intracellular trafficking, secretion, and vesicular transport	Type II secretory pathway, PulJ/GspJ component		COG4795	PulJ:	
Intracellular trafficking, secretion, and vesicular transport	Type II secretory pathway, component HofQ		COG4796	HofQ:	
General function prediction only	Predicted regulatory domain of a methyltransferase		COG4797	:	
General function prediction only	Predicted methyltransferase		COG4798	:	
Lipid transport and metabolism	Acetyl-CoA carboxylase, carboxyltransferase component		COG4799	MmdA:	
Transcription	Predicted transcriptional regulator with an HTH domain		COG4800	:	
General function prediction only	Predicted acyltransferase, contains DUF342 domain		COG4801	:	
Energy production and conversion	Ferredoxin-thioredoxin reductase, catalytic subunit		COG4802	FtrB:	
Function unknown	Uncharacterized membrane protein		COG4803	:	
General function prediction only	Predicted nuclease of restriction endonuclease-like (RecB) superfamily,  DUF1016 family		COG4804	YhcG:	
Function unknown	Uncharacterized conserved protein, DUF885 family		COG4805	:	
Carbohydrate transport and metabolism	L-rhamnose isomerase		COG4806	RhaA:	
Function unknown	Uncharacterized conserved protein YehS, DUF1456 family		COG4807	YehS:	
Function unknown	Uncharacterized lipoprotein YehR, DUF1307 family		COG4808	YehR:	
Carbohydrate transport and metabolism	Archaeal ADP-dependent glucokinase/phosphofructokinase		COG4809	Pfk2:Glycolysis	
Amino acid transport and metabolism	Ethanolamine utilization protein EutS, microcompartment shell protein		COG4810	EutS:	
Function unknown	Uncharacterized membrane protein YobD, UPF0266 family		COG4811	YobD:	
Amino acid transport and metabolism	Ethanolamine utilization protein EutT, cobalamin adenosyltransferase		COG4812	EutT:	
Carbohydrate transport and metabolism	Trehalose utilization protein		COG4813	ThuA:	
Function unknown	Uncharacterized conserved protein with an alpha/beta hydrolase fold		COG4814	:	
Function unknown	Uncharacterized conserved protein		COG4815	:	
Amino acid transport and metabolism	Ethanolamine utilization protein EutL, microcompartment shell protein		COG4816	EutL:	
Replication, recombination and repair	DNA-binding ferritin-like protein (Dps family)		COG4817	GINS:	
Function unknown	Uncharacterized membrane protein MJ1443, UPF0132 family		COG4818	:	
Amino acid transport and metabolism	Ethanolamine utilization protein EutA, possible chaperonin		COG4819	EutA:	
Amino acid transport and metabolism	Ethanolamine utilization protein EutJ, possible chaperonin		COG4820	EutJ:	
General function prediction only	Uncharacterized conserved protein, contains SIS (Sugar ISomerase) phosphosugar binding domain		COG4821	:	
Coenzyme transport and metabolism	Cobalamin biosynthesis protein CbiK, Co2+ chelatase		COG4822	CbiK:Cobalamine/B12 biosynthesis	
Defense mechanisms	Abortive infection bacteriophage resistance protein		COG4823	AbiF:	
Mobilome: prophages, transposons	Phage-related holin (Lysis protein)		COG4824	:	
General function prediction only	Uncharacterized conserved protein, contains thiamine pyrophosphokinase N- and C- domains		COG4825	MT1736:	
Posttranslational modification, protein turnover, chaperones	Serine protease inhibitor		COG4826	SERPIN:	
General function prediction only	Predicted transporter		COG4827	:	
Function unknown	Uncharacterized membrane protein		COG4828	:	
Secondary metabolites biosynthesis, transport and catabolism	Muconolactone delta-isomerase		COG4829	CatC1:	
Translation, ribosomal structure and biogenesis	Ribosomal protein S26e		COG4830	RPS26B:Archaeal ribosomal proteins	
Signal transduction mechanisms	Roadblock/LC7 domain		COG4831	:	
Defense mechanisms	Cyclopropanoid cyclopropyl hydrolase, GyrI-like domain		COG4832	MA1133:	
Signal transduction mechanisms	Cyclopropanoid cyclopropyl hydrolase, GyrI-like domain		COG4832	MA1133:	
Carbohydrate transport and metabolism	Predicted alpha-1,6-mannanase, GH76 family		COG4833	:	
Function unknown	Uncharacterized conserved protein, DUF2184 domain		COG4834	:	
Function unknown	Uncharacterized conserved protein		COG4835	:	
Function unknown	Uncharacterized membrane protein YwzB		COG4836	YwzB:	
Posttranslational modification, protein turnover, chaperones	Disulfide oxidoreductase YuzD		COG4837	YuzD:	
Function unknown	Uncharacterized conserved protein YlaN, UPF0358 family		COG4838	YlaN:	
Cell cycle control, cell division, chromosome partitioning	Cell division protein FtsL		COG4839	FtsL2:	
Function unknown	Uncharacterized conserved protein YfkK, UPF0435 family		COG4840	YfkK:	
Function unknown	Uncharacterized conserved protein YneR, related to HesB/YadR/YfhF family		COG4841	YneR:	
Defense mechanisms	Secreted virulence factor YukE/EsxA, WXG100 family		COG4842	EsxA:	
Function unknown	Uncharacterized conserved protein YebE, UPF0316/DUF2179 family		COG4843	YebE:	
Function unknown	Uncharacterized conserved protein YuzB, UPF0349 family		COG4844	YuzB:	
Defense mechanisms	Chloramphenicol O-acetyltransferase		COG4845	CatA:	
Energy production and conversion	Cytochrome c biogenesis protein CcdC		COG4846	CcdC:	
Posttranslational modification, protein turnover, chaperones	Cytochrome c biogenesis protein CcdC		COG4846	CcdC:	
Function unknown	Uncharacterized conserved protein, DUF2175 family		COG4847	:	
General function prediction only	YtpQ protein involved in methylglyoxal resistance, DUF1444/UPF0354 family		COG4848	YtpQ:	
General function prediction only	Predicted nucleotidyltransferase		COG4849	:	
Lipid transport and metabolism	Phosphatidate phosphatase APP1		COG4850	App1:	
General function prediction only	Uncharacterized conserved protein involved in sex pheromone biosynthesis		COG4851	CamS:	
Function unknown	Uncharacterized membrane protein		COG4852	:	
Signal transduction mechanisms	YycI protein, regulator of the WalKR two-component signal transduction system		COG4853	YycI:	
Function unknown	Uncharacterized membrane protein AF1626, predicted component of bacteriocin or quorum sensing system, DUF2178 family		COG4854	:	
Nucleotide transport and metabolism	Uncharacterized conserved protein		COG4855	:	
Signal transduction mechanisms	Cyclic di-AMP synthase regulator CdaR, YbbR domain		COG4856	YbbR:	
Amino acid transport and metabolism	5-Methylthioribose/5-deoxyribose kinase, methionine salvage pathway		COG4857	MthN:	
Function unknown	Uncharacterized membrane-anchored protein		COG4858	:	
Function unknown	Uncharacterized protein, contains DUF2185 domain		COG4859	:	
Transcription	Predicted DNA-binding transcriptional regulator, ArsR family		COG4860	:	
Function unknown	Uncharacterized conserved protein		COG4861	:	
Transcription	Negative regulator MecA of genetic competence, sporulation and motility		COG4862	MecA:	
Signal transduction mechanisms	Negative regulator MecA of genetic competence, sporulation and motility		COG4862	MecA:	
Cell motility	Negative regulator MecA of genetic competence, sporulation and motility		COG4862	MecA:	
Signal transduction mechanisms	YycH protein, regulator of the WalKR two-component signal transduction system		COG4863	YycH:	
Function unknown	Uncharacterized conserved protein YqfA, UPF0365 family		COG4864	YqfA:	
Amino acid transport and metabolism	Glutamate mutase epsilon subunit		COG4865	GlmE:	
Function unknown	Uncharacterized protein, contains DUF2156 domain		COG4866	:	
Function unknown	Uncharacterized conserved protein, contains von Willebrand factor type A (vWFA) domain		COG4867	:	
Function unknown	Uncharacterized conserved protein, UPF0371 family		COG4868	:	
Secondary metabolites biosynthesis, transport and catabolism	Propanediol utilization protein		COG4869	PduL:	
Posttranslational modification, protein turnover, chaperones	Cysteine protease, C1A family		COG4870	:	
Transcription	Metal-binding trascriptional regulator, contains Fe-S cluster and ArsR family DNA binding domain		COG4871	:	
Function unknown	Uncharacterized membrane protein		COG4872	:	
Function unknown	Uncharacterized conserved protein YkvS, DUF2187 family		COG4873	YkvS:	
Function unknown	Uncharacterized conserved protein		COG4874	:	
Posttranslational modification, protein turnover, chaperones	Protein kinase association domain CaMKII_AD, NTF2-like superfamily		COG4875	CaMKIID:	
Function unknown	Uncharacterized conserved protein YdaT		COG4876	YdaT:	
Function unknown	Uncharacterized conserved protein		COG4877	:	
Function unknown	Uncharacterized conserved protein, DUF2194 domain		COG4878	:	
Function unknown	Uncharacterized protein, contains DUF2192 domain		COG4879	:	
General function prediction only	Secreted protein containing C-terminal beta-propeller domain distantly related to WD-40 repeats		COG4880	:	
Inorganic ion transport and metabolism	Predicted membrane anchor for polysulfide/nitrite-type reductase, PsrC/NrfD syperfamily		COG4881	:	
General function prediction only	Predicted aminopeptidase, Iap family		COG4882	:	
Function unknown	Uncharacterized conserved protein, DUF2193 domain		COG4883	:	
Function unknown	Uncharacterized conserved protein YfeS, contains WGR domain		COG4884	YfeS:	
Function unknown	Uncharacterized conserved protein		COG4885	:	
Transcription	Leucine-rich repeat (LRR) protein		COG4886	LRR:	
Function unknown	Uncharacterized metal-binding protein MJ0455, DUF1847 family		COG4887	:	
Transcription	Transcription elongation factor Elf1, contains Zn-ribbon domain		COG4888	Elf1:	
General function prediction only	Predicted helicase		COG4889	:	
Function unknown	Predicted outer membrane lipoprotein		COG4890	:	
Function unknown	Uncharacterized conserved protein		COG4891	:	
General function prediction only	Predicted heme/steroid binding protein		COG4892	:	
Function unknown	Uncharacterized conserved protein, DUF2195 domain		COG4893	:	
Lipid transport and metabolism	Putative phospholipid scramblase YxjI, Tubby2 superfamily		COG4894	YxjI:	
