L1	ID	Function	EC	UNIPROT ID
Function unknown	VOG30065	hypothetical protein		
Function unknown	VOG30066	hypothetical protein		
Function unknown	VOG30067	hypothetical protein		
Function unknown	VOG30068	hypothetical protein		
Function unknown	VOG30069	hypothetical protein		
Function unknown	VOG30070	hypothetical protein		
Function unknown	VOG30071	hypothetical protein		
Function unknown	VOG30072	hypothetical protein		
Function unknown	VOG30073	hypothetical protein		
Function unknown	VOG30074	hypothetical protein		
Function unknown	VOG30075	hypothetical protein		
Function unknown	VOG30076	hypothetical protein		
Function unknown	VOG30077	hypothetical protein		
Function unknown	VOG30078	hypothetical protein		
Function unknown	VOG30079	hypothetical protein		
Function unknown	VOG30080	hypothetical protein		
Function unknown	VOG30081	hypothetical protein		
Function unknown	VOG30082	hypothetical protein		
Function unknown	VOG30083	hypothetical protein		
Function unknown	VOG30084	hypothetical protein		
Function unknown	VOG30085	hypothetical protein		
Function unknown	VOG30086	transcriptional regulator		
Function unknown	VOG30087	gp13		
Function unknown	VOG30088	hypothetical protein		
Function unknown	VOG30089	hypothetical protein		
Function unknown	VOG30090	antitoxin from a toxin-antitoxin system		
Function unknown	VOG30091	hypothetical protein		
Function unknown	VOG30092	hypothetical protein		
Function unknown	VOG30093	hypothetical protein		
Function unknown	VOG30094	hypothetical protein		
Function unknown	VOG30095	Uncharacterized protein 5		Y005_SIFVH
Function unknown	VOG30096	hypothetical protein		
Function unknown	VOG30097	hypothetical protein		
Function unknown	VOG30098	hypothetical protein		
Function unknown	VOG30099	hypothetical protein		
Function unknown	VOG30100	DNA binding domain protein		
Function unknown	VOG30101	hypothetical protein		
Function unknown	VOG30102	hypothetical protein		
Function unknown	VOG30103	hypothetical protein		
Function unknown	VOG30104	hypothetical protein		
Function unknown	VOG30105	hypothetical protein		
Function unknown	VOG30106	hypothetical protein		
Function unknown	VOG30107	hypothetical protein		
Function unknown	VOG30108	hypothetical protein		
Function unknown	VOG30109	hypothetical protein		
Function unknown	VOG30110	hypothetical protein		
Function unknown	VOG30111	hypothetical protein		
Function unknown	VOG30112	hypothetical protein		
Function unknown	VOG30113	hypothetical protein		
Function unknown	VOG30114	single strand DNA binding protein		
Virus replication	VOG30115	DNA polymerase processivity factor component OPG148		PG148_VARV
Function unknown	VOG30116	hypothetical protein		
Function unknown	VOG30117	hypothetical protein		
Function unknown	VOG30118	hypothetical protein		
Function unknown	VOG30119	hypothetical protein		
Function unknown	VOG30120	hypothetical protein		
Function unknown	VOG30121	head-to-tail stopper		
Function unknown	VOG30122	hypothetical protein		
Function unknown	VOG30123	hypothetical protein		
Function unknown	VOG30124	hypothetical protein		
Function unknown	VOG30125	hypothetical protein		
Function unknown	VOG30126	hypothetical protein		
Function unknown	VOG30127	hypothetical protein		
Function unknown	VOG30128	hypothetical protein		
Function unknown	VOG30129	hypothetical protein		
Function unknown	VOG30130	hypothetical protein		
Virus protein with function beneficial for the host	VOG30131	Late protein I196L		VF196_ASFK5
Function unknown	VOG30132	single strand annealing protein		
Function unknown	VOG30133	hypothetical protein		
Function unknown	VOG30134	hypothetical protein		
Function unknown	VOG30135	hypothetical protein		
Function unknown	VOG30136	hypothetical protein		
Virus protein with function beneficial for the host	VOG30137	Uncharacterized protein B125R		VF125_ASFK5
Function unknown	VOG30138	hypothetical protein		
Function unknown	VOG30139	tail protein		
Function unknown	VOG30140	Uncharacterized 9.9 kDa protein		YVFD_VACCC
Function unknown	VOG30141	hypothetical protein		
Function unknown	VOG30142	putative SpoVG protein		
Function unknown	VOG30143	hypothetical protein		
Function unknown	VOG30144	hypothetical protein		
Function unknown	VOG30145	hypothetical protein		
Function unknown	VOG30146	hypothetical protein		
Function unknown	VOG30147	hypothetical protein		
Function unknown	VOG30148	Uncharacterized protein R900		YR900_MIMIV
Function unknown	VOG30149	hypothetical protein		
Function unknown	VOG30150	hypothetical protein		
Function unknown	VOG30151	hypothetical protein		
Function unknown	VOG30152	hypothetical protein		
Function unknown	VOG30153	EsV-1-43		
Function unknown	VOG30154	hypothetical protein		
Function unknown	VOG30155	hypothetical protein		
Function unknown	VOG30156	hypothetical protein		
Function unknown	VOG30157	hypothetical protein		
Function unknown	VOG30158	hypothetical protein		
Function unknown	VOG30159	hypothetical protein		
Function unknown	VOG30160	DNA primase		
Function unknown	VOG30161	hypothetical protein		
Virus protein with function beneficial for the host | Virus structure	VOG30162	Inner membrane protein H108R		VF108_ASFK5
Function unknown	VOG30163	hypothetical protein		
Function unknown	VOG30164	hypothetical protein		
Function unknown	VOG30165	Non-structural protein NS1		VNS1_BTV13
Virus protein with function beneficial for the host | Virus replication | Virus structure	VOG30166	Virion DNA-directed RNA polymerase		RPOLV_BPN4
Function unknown	VOG30167	hypothetical protein		
Function unknown	VOG30168	hypothetical protein		
Function unknown	VOG30169	hypothetical protein		
Function unknown	VOG30170	hypothetical protein		
Function unknown	VOG30171	hypothetical protein		
Function unknown	VOG30172	putative orfan		
Function unknown	VOG30173	hypothetical protein		
Function unknown	VOG30174	hypothetical protein		
Function unknown	VOG30175	hypothetical protein		
Function unknown	VOG30176	hypothetical protein		
Function unknown	VOG30177	hypothetical protein		
Function unknown	VOG30178	hypothetical protein		
Function unknown	VOG30179	hypothetical protein		
Function unknown	VOG30180	hypothetical protein		
Function unknown	VOG30181	hypothetical protein		
Function unknown	VOG30182	hypothetical protein		
Function unknown	VOG30183	hypothetical protein		
Function unknown	VOG30184	hypothetical protein		
Function unknown	VOG30185	membrane protein		
Function unknown	VOG30186	hypothetical protein		
Function unknown	VOG30187	hypothetical protein		
Function unknown	VOG30188	hypothetical protein		
Function unknown	VOG30189	hypothetical protein		
Function unknown	VOG30190	single strand DNA binding protein		
Function unknown	VOG30191	hypothetical protein		
Function unknown	VOG30192	PIPO		
Function unknown	VOG30193	4 protein		
Function unknown	VOG30194	hypothetical protein		
Function unknown	VOG30195	Cy166		
Function unknown	VOG30196	hypothetical protein		
Function unknown	VOG30197	hypothetical protein		
Function unknown	VOG30198	major head protein		
Function unknown	VOG30199	hypothetical protein		
Function unknown	VOG30200	hypothetical protein		
Function unknown	VOG30201	hypothetical protein		
Function unknown	VOG30202	hypothetical protein		
Function unknown	VOG30203	hypothetical protein		
Function unknown	VOG30204	hypothetical protein		
Function unknown	VOG30205	transcriptional regulator		
Virus structure	VOG30206	Uncharacterized protein B117L		VF117_ASFP4
Function unknown	VOG30207	hypothetical protein		
Function unknown	VOG30208	hypothetical protein		
Function unknown	VOG30209	hypothetical protein		
Function unknown	VOG30210	hypothetical protein		
Function unknown	VOG30211	hypothetical protein		
Function unknown	VOG30212	hypothetical protein		
Function unknown	VOG30213	hypothetical protein		
Function unknown	VOG30214	hypothetical protein		
Function unknown	VOG30215	hypothetical protein		
Function unknown	VOG30216	Uncharacterized protein 061R		VF467_IIV3
Function unknown	VOG30217	hypothetical protein		
Function unknown	VOG30218	hypothetical protein		
Function unknown	VOG30219	hypothetical protein		
Function unknown	VOG30220	hypothetical protein		
Function unknown	VOG30221	Nuclear phosphoprotein UL3 homolog		NP03_GAHVM
Function unknown	VOG30222	hypothetical protein		
Function unknown	VOG30223	hypothetical protein		
Function unknown	VOG30224	hypothetical protein		
Function unknown	VOG30225	Ribonuclease R		RNR_BACSU
Function unknown	VOG30226	F-box domain protein		
Function unknown	VOG30227	hypothetical protein		
Function unknown	VOG30228	hypothetical protein		
Function unknown	VOG30229	hypothetical protein		
Function unknown	VOG30230	hypothetical protein		
Function unknown	VOG30231	hypothetical protein		
Function unknown	VOG30232	putative holin		
Function unknown	VOG30233	hypothetical protein		
Function unknown	VOG30234	hypothetical protein		
Function unknown	VOG30235	hypothetical protein		
Function unknown	VOG30236	hypothetical protein		
Function unknown	VOG30237	hypothetical protein		
Function unknown	VOG30238	hypothetical protein		
Function unknown	VOG30239	hypothetical protein		
Function unknown	VOG30240	hypothetical protein		
Function unknown	VOG30241	hypothetical protein		
Function unknown	VOG30242	hypothetical protein		
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus | Virus replication	VOG30243	Replicase polyprotein 1a		R1A_BC133
Function unknown	VOG30244	hypothetical protein		
Function unknown	VOG30245	hypothetical protein		
Function unknown	VOG30246	Cytosine/adenosine deaminase		
Function unknown	VOG30247	hypothetical protein		
Function unknown	VOG30248	hypothetical protein		
Function unknown	VOG30249	Erf-like ssDNA annealing protein		
Function unknown	VOG30250	hypothetical protein		
Function unknown	VOG30251	hypothetical protein		
Function unknown	VOG30252	hypothetical protein		
Function unknown	VOG30253	hypothetical protein		
Function unknown	VOG30254	hypothetical protein		
Function unknown	VOG30255	hypothetical protein		
Function unknown	VOG30256	hypothetical protein		
Function unknown	VOG30257	hypothetical protein		
Function unknown	VOG30258	integrase		
Function unknown	VOG30259	hypothetical protein		
Function unknown	VOG30260	gp60		
Function unknown	VOG30261	histidine phosphatase domain-containing protein		
Function unknown	VOG30262	hypothetical protein		
Function unknown	VOG30263	EsV-1-125		
Function unknown	VOG30264	hypothetical protein		
Function unknown	VOG30265	hypothetical protein		
Function unknown	VOG30266	hypothetical protein		
Function unknown	VOG30267	hypothetical protein		
Function unknown	VOG30268	hypothetical protein		
Function unknown	VOG30269	endonuclease 2		
Function unknown	VOG30270	AAA ATPase		
Virus protein with function beneficial for the host	VOG30271	UPF0758 protein Glov_0523		Y523_TRIL1
Function unknown	VOG30272	hypothetical protein		
Function unknown	VOG30273	hypothetical protein		
Function unknown	VOG30274	hypothetical protein		
Function unknown	VOG30275	hypothetical protein		
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus	VOG30276	Protein I267L		VF267_ASFK5
Function unknown	VOG30277	hypothetical protein		
Function unknown	VOG30278	hypothetical protein		
Function unknown	VOG30279	hypothetical protein		
Function unknown	VOG30280	Lambda prophage-derived protein ea10		EA10_ECOL6
Function unknown	VOG30281	Uncharacterized protein 417		Y417_SIRV1
Function unknown	VOG30282	hypothetical protein		
Function unknown	VOG30283	hypothetical protein		
Function unknown	VOG30284	putative pyridine nucleotide-disulfide oxidoreductase		
Function unknown	VOG30285	hypothetical protein		
Function unknown	VOG30286	hypothetical protein		
Function unknown	VOG30287	hypothetical protein		
Function unknown	VOG30288	hypothetical protein		
Function unknown	VOG30289	hypothetical protein		
Function unknown	VOG30290	hypothetical protein		
Function unknown	VOG30291	hypothetical protein		
Function unknown	VOG30292	hypothetical protein		
Function unknown	VOG30293	hypothetical protein		
Function unknown	VOG30294	hypothetical protein		
Function unknown	VOG30295	hypothetical protein		
Function unknown	VOG30296	hypothetical protein		
Function unknown	VOG30297	hypothetical protein		
Function unknown	VOG30298	hypothetical protein		
Function unknown	VOG30299	hypothetical protein		
Function unknown	VOG30300	ASCH domain-containing ribonuclease		ASCHD_ZYMMA
Function unknown	VOG30301	hypothetical protein		
Function unknown	VOG30302	hypothetical protein		
Function unknown	VOG30303	hypothetical protein		
Function unknown	VOG30304	hypothetical protein		
Function unknown	VOG30305	hypothetical protein		
Function unknown	VOG30306	hypothetical protein		
Function unknown	VOG30307	hypothetical protein		
Function unknown	VOG30308	hypothetical protein		
Function unknown	VOG30309	NSs		
Function unknown	VOG30310	hypothetical protein		
Function unknown	VOG30311	hypothetical protein		
Function unknown	VOG30312	hypothetical protein		
Function unknown	VOG30313	hypothetical protein		
Function unknown	VOG30314	hypothetical protein		
Function unknown	VOG30315	hypothetical protein		
Function unknown	VOG30316	hypothetical protein		
Function unknown	VOG30317	hypothetical protein		
Function unknown	VOG30318	tail tube protein		
Function unknown	VOG30319	hypothetical protein		
Function unknown	VOG30320	hypothetical protein		
Function unknown	VOG30321	hypothetical protein		
Function unknown	VOG30322	hypothetical protein		
Function unknown	VOG30323	hypothetical protein		
Function unknown	VOG30324	hypothetical protein		
Function unknown	VOG30325	hypothetical protein		
Function unknown	VOG30326	hypothetical protein		
Function unknown	VOG30327	hypothetical protein		
Function unknown	VOG30328	hypothetical protein		
Function unknown	VOG30329	hypothetical protein		
Function unknown	VOG30330	hypothetical protein		
Function unknown	VOG30331	hypothetical protein		
Function unknown	VOG30332	hypothetical protein		
Function unknown	VOG30333	hypothetical protein		
Function unknown	VOG30334	tail assembly chaperone		
Function unknown	VOG30335	hypothetical protein		
Function unknown	VOG30336	hypothetical protein		
Function unknown	VOG30337	glycosyl transferase family 11		
Function unknown	VOG30338	putative orfan		
Function unknown	VOG30339	hypothetical protein		
Function unknown	VOG30340	hypothetical protein		
Function unknown	VOG30341	hypothetical protein		
Function unknown	VOG30342	hypothetical protein		
Function unknown	VOG30343	hypothetical protein		
Function unknown	VOG30344	hypothetical protein		
Function unknown	VOG30345	hypothetical protein		
Function unknown	VOG30346	hypothetical protein		
Function unknown	VOG30347	hypothetical protein		
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus | Virus replication | Virus structure	VOG30348	Genome polyprotein (Fragment)		POLG_HCVJ2
Function unknown	VOG30349	hypothetical protein		
Function unknown	VOG30350	hypothetical protein		
Function unknown	VOG30351	putative pectin lyase		
Function unknown	VOG30352	hypothetical protein		
Function unknown	VOG30353	hypothetical protein		
Function unknown	VOG30354	hypothetical protein		
Function unknown	VOG30355	hypothetical protein		
Function unknown	VOG30356	hypothetical protein		
Function unknown	VOG30357	aminoglycoside phosphotransferase		
Function unknown	VOG30358	hypothetical protein		
Function unknown	VOG30359	hypothetical protein		
Function unknown	VOG30360	hypothetical protein		
Function unknown	VOG30361	Gp28 protein		
Function unknown	VOG30362	hypothetical protein		
Function unknown	VOG30363	Uncharacterized protein ORF103		Y103_ABVP
Function unknown	VOG30364	major head protein		
Function unknown	VOG30365	hypothetical protein		
Function unknown	VOG30366	hypothetical protein		
Function unknown	VOG30367	hypothetical protein		
Function unknown	VOG30368	hypothetical protein		
Function unknown	VOG30369	hypothetical protein		
Function unknown	VOG30370	hypothetical protein		
Function unknown	VOG30371	hypothetical protein		
Function unknown	VOG30372	hypothetical protein		
Function unknown	VOG30373	Uncharacterized protein ORF2		VG02_ICHVA
Virus protein with function beneficial for the host	VOG30374	O-antigen biosynthesis glycosyltransferase WbnI		WBNI_ECOLX
Function unknown	VOG30375	histidine kinase		
Function unknown	VOG30376	hypothetical protein		
Function unknown	VOG30377	hypothetical protein		
Function unknown	VOG30378	SPbeta prophage-derived uncharacterized protein YonK		YONK_BACSU
Function unknown	VOG30379	hypothetical protein		
Function unknown	VOG30380	hypothetical protein		
Function unknown	VOG30381	hypothetical protein		
Function unknown	VOG30382	hypothetical protein		
Function unknown	VOG30383	hypothetical protein		
Function unknown	VOG30384	hypothetical protein		
Function unknown	VOG30385	hypothetical protein		
Function unknown	VOG30386	hypothetical protein		
Function unknown	VOG30387	hypothetical protein		
Function unknown	VOG30388	hypothetical protein		
Function unknown	VOG30389	putative CxxC motif protein		
Function unknown	VOG30390	hypothetical protein		
Function unknown	VOG30391	hypothetical protein		
Function unknown	VOG30392	hypothetical protein		
Function unknown	VOG30393	hypothetical protein		
Function unknown	VOG30394	hypothetical protein		
Function unknown	VOG30395	hypothetical protein		
Function unknown	VOG30396	hypothetical protein		
Function unknown	VOG30397	hypothetical protein		
Function unknown	VOG30398	hypothetical protein		
Function unknown	VOG30399	hypothetical protein		
Function unknown	VOG30400	hypothetical protein		
Function unknown	VOG30401	hypothetical protein		
Function unknown	VOG30402	hypothetical protein		
Function unknown	VOG30403	hypothetical protein		
Function unknown	VOG30404	Uncharacterized protein L490		YL490_MIMIV
Function unknown	VOG30405	hypothetical protein		
Function unknown	VOG30406	hypothetical protein		
Function unknown	VOG30407	hypothetical protein		
Function unknown	VOG30408	hypothetical protein		
Function unknown	VOG30409	hypothetical protein		
Function unknown	VOG30410	hypothetical protein		
Function unknown	VOG30411	hypothetical protein		
Function unknown	VOG30412	hypothetical protein		
Function unknown	VOG30413	hypothetical protein		
Function unknown	VOG30414	hypothetical protein		
Function unknown	VOG30415	hypothetical protein		
Function unknown	VOG30416	hypothetical protein		
Function unknown	VOG30417	hypothetical protein		
Function unknown	VOG30418	hypothetical protein		
Function unknown	VOG30419	hypothetical protein		
Function unknown	VOG30420	hypothetical protein		
Function unknown	VOG30421	Uncharacterized 8.1 kDa protein in Gp30-rIII intergenic region		Y12I_BPT4
Function unknown	VOG30422	hypothetical protein		
Function unknown	VOG30423	hypothetical protein		
Function unknown	VOG30424	hypothetical protein		
Function unknown	VOG30425	hypothetical protein		
Function unknown	VOG30426	hypothetical protein		
Function unknown	VOG30427	hypothetical protein		
Function unknown	VOG30428	hypothetical protein		
Function unknown	VOG30429	hypothetical protein		
Function unknown	VOG30430	hypothetical protein		
Function unknown	VOG30431	hypothetical protein		
Function unknown	VOG30432	hypothetical protein		
Function unknown	VOG30433	phosphatase PAP2 family protein		
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus | Virus structure	VOG30434	Morphogenesis protein 1		GP13_BPPZA
Function unknown	VOG30435	hypothetical protein		
Virus protein with function beneficial for the host | Virus replication	VOG30436	DNA-directed DNA polymerase		DPOL_BPT4
Function unknown	VOG30437	hypothetical protein		
Function unknown	VOG30438	AcrIIA2 family anti-CRISPR protein		
Function unknown	VOG30439	hypothetical protein		
Virus structure	VOG30440	Uncharacterized protein L492		YL492_MIMIV
Function unknown	VOG30441	hypothetical protein		
Function unknown	VOG30442	hypothetical protein		
Function unknown	VOG30443	hypothetical protein		
Function unknown	VOG30444	DNA primase		
Function unknown	VOG30445	hypothetical protein		
Function unknown	VOG30446	hypothetical protein		
Function unknown	VOG30447	hypothetical protein		
Function unknown	VOG30448	lipoprotein		
Function unknown	VOG30449	hypothetical protein		
Function unknown	VOG30450	hypothetical protein		
Virus protein with function beneficial for the host | Virus structure	VOG30451	Virion membrane protein OPG144 precursor		PG144_VAR67
Function unknown	VOG30452	hypothetical protein		
Function unknown	VOG30453	hypothetical protein		
Function unknown	VOG30454	hypothetical protein		
Function unknown	VOG30455	hypothetical protein		
Function unknown	VOG30456	hypothetical protein		
Function unknown	VOG30457	VIP2-like ADP-ribosyltransferase toxin		
Function unknown	VOG30458	hypothetical protein		
Function unknown	VOG30459	hypothetical protein		
Function unknown	VOG30460	hypothetical protein		
Function unknown	VOG30461	hypothetical protein		
Function unknown	VOG30462	hypothetical protein		
Function unknown	VOG30463	CxxC motif protein		
Function unknown	VOG30464	P6 protein		
Function unknown	VOG30465	hypothetical protein		
Function unknown	VOG30466	hypothetical protein		
Function unknown	VOG30467	E116.1		
Function unknown	VOG30468	hypothetical protein		
Function unknown	VOG30469	hypothetical protein		
Function unknown	VOG30470	Member of MGP family m145		
Function unknown	VOG30471	hypothetical protein		
Function unknown	VOG30472	hypothetical protein		
Function unknown	VOG30473	hypothetical protein		
Function unknown	VOG30474	hypothetical protein		
Function unknown	VOG30475	hypothetical protein		
Function unknown	VOG30476	RusA-like Holliday junction resolvase		
Function unknown	VOG30477	hypothetical protein		
Function unknown	VOG30478	hypothetical protein		
Function unknown	VOG30479	hypothetical protein		
Function unknown	VOG30480	hypothetical protein		
Function unknown	VOG30481	hypothetical protein		
Function unknown	VOG30482	hypothetical protein		
Function unknown	VOG30483	hypothetical protein		
Function unknown	VOG30484	putative homing nuclease		
Function unknown	VOG30485	hypothetical protein		
Function unknown	VOG30486	hypothetical protein		
Function unknown	VOG30487	hypothetical protein		
Function unknown	VOG30488	hypothetical protein		
Function unknown	VOG30489	hypothetical protein		
Function unknown	VOG30490	hypothetical protein		
Function unknown	VOG30491	hypothetical protein		
Function unknown	VOG30492	hypothetical protein		
Function unknown	VOG30493	virion structural protein		
Function unknown	VOG30494	hypothetical protein		
Function unknown	VOG30495	holin		
Function unknown	VOG30496	hypothetical protein		
Function unknown	VOG30497	dynamin family GTPase		
Function unknown	VOG30498	hypothetical protein		
Function unknown	VOG30499	hypothetical protein		
Function unknown	VOG30500	hypothetical protein		
Function unknown	VOG30501	hypothetical protein		
Function unknown	VOG30502	hypothetical protein		
Function unknown	VOG30503	hypothetical protein		
Function unknown	VOG30504	hypothetical protein		
Function unknown	VOG30505	3A		
Function unknown	VOG30506	hypothetical protein		
Function unknown	VOG30507	hypothetical protein		
Function unknown	VOG30508	hypothetical protein		
Function unknown	VOG30509	hypothetical protein		
Function unknown	VOG30510	golgin subfamily A member 2-like protein		
Function unknown	VOG30511	hypothetical protein		
Function unknown	VOG30512	hypothetical protein		
Function unknown	VOG30513	hypothetical protein		
Function unknown	VOG30514	3'-5' exonuclease		
Function unknown	VOG30515	hypothetical protein		
Function unknown	VOG30516	hypothetical protein		
Function unknown	VOG30517	hypothetical protein		
Function unknown	VOG30518	hypothetical protein		
Function unknown	VOG30519	hypothetical protein		
Virus structure	VOG30520	Capsid protein VP4		CAPS1_SPV1
Function unknown	VOG30521	hypothetical protein		
Function unknown	VOG30522	RNA-binding protein cabeza		
Function unknown	VOG30523	hypothetical protein		
Function unknown	VOG30524	hypothetical protein		
Function unknown	VOG30525	Protein UL148A		U148A_HCMVM
Function unknown	VOG30526	hypothetical protein		
Function unknown	VOG30527	hypothetical protein		
Function unknown	VOG30528	hypothetical protein		
Function unknown	VOG30529	membrane protein		
Function unknown	VOG30530	hypothetical protein		
Function unknown	VOG30531	hypothetical protein		
Function unknown	VOG30532	tail fiber protein		
Function unknown	VOG30533	hypothetical protein		
Function unknown	VOG30534	hypothetical protein		
Function unknown	VOG30535	putative orfan		
Function unknown	VOG30536	hypothetical protein		
Function unknown	VOG30537	hypothetical protein		
Function unknown	VOG30538	hypothetical protein		
Function unknown	VOG30539	hypothetical protein		
Function unknown	VOG30540	hypothetical protein		
Function unknown	VOG30541	hypothetical protein		
Function unknown	VOG30542	hypothetical protein		
Function unknown	VOG30543	hypothetical protein		
Function unknown	VOG30544	hypothetical protein 3		
Function unknown	VOG30545	hypothetical protein		
Function unknown	VOG30546	hypothetical protein		
Function unknown	VOG30547	major core structural protein P1		
Function unknown	VOG30548	hypothetical protein		
Function unknown	VOG30549	hypothetical protein		
Function unknown	VOG30550	hypothetical protein		
Function unknown	VOG30551	hypothetical protein		
Function unknown	VOG30552	hypothetical protein		
Function unknown	VOG30553	hypothetical protein		
Function unknown	VOG30554	transcriptional regulator		
Function unknown	VOG30555	hypothetical protein		
Function unknown	VOG30556	gp178		
Function unknown	VOG30557	hypothetical protein		
Function unknown	VOG30558	hypothetical protein		
Function unknown	VOG30559	gp25		
Function unknown	VOG30560	hypothetical protein		
Function unknown	VOG30561	hypothetical protein		
Function unknown	VOG30562	hypothetical protein		
Function unknown	VOG30563	hypothetical protein		
Function unknown	VOG30564	hypothetical protein		
Function unknown	VOG30565	hypothetical protein		
Function unknown	VOG30566	178R		
Function unknown	VOG30567	hypothetical protein		
Function unknown	VOG30568	hypothetical protein		
Function unknown	VOG30569	hypothetical protein		
Function unknown	VOG30570	hypothetical protein		
Function unknown	VOG30571	hypothetical protein		
Function unknown	VOG30572	hypothetical protein		
Function unknown	VOG30573	hypothetical protein		
Function unknown	VOG30574	baseplate wedge subunit		
Function unknown	VOG30575	hypothetical protein		
Function unknown	VOG30576	hypothetical protein		
Function unknown	VOG30577	hypothetical protein		
Function unknown	VOG30578	hypothetical protein		
Function unknown	VOG30579	hypothetical protein		
Function unknown	VOG30580	hypothetical protein		
Function unknown	VOG30581	hypothetical protein		
Function unknown	VOG30582	RNA-dependent RNA polymerase		
Function unknown	VOG30583	hypothetical protein		
Function unknown	VOG30584	hypothetical protein		
Function unknown	VOG30585	hypothetical protein		
Function unknown	VOG30586	hypothetical protein		
Function unknown	VOG30587	hypothetical protein		
Function unknown	VOG30588	hypothetical protein		
Function unknown	VOG30589	hypothetical protein		
Function unknown	VOG30590	hypothetical protein		
Function unknown	VOG30591	Uncharacterized protein ORF17		YO17_ADEG1
Function unknown	VOG30592	hypothetical protein		
Function unknown	VOG30593	hypothetical protein		
Function unknown	VOG30594	hypothetical protein		
Function unknown	VOG30595	hypothetical protein		
Function unknown	VOG30596	hypothetical protein		
Function unknown	VOG30597	hypothetical protein		
Function unknown	VOG30598	hypothetical protein		
Function unknown	VOG30599	hypothetical protein		
Function unknown	VOG30600	hypothetical protein		
Function unknown	VOG30601	hypothetical protein		
Function unknown	VOG30602	hypothetical protein		
Function unknown	VOG30603	hypothetical protein		
Function unknown	VOG30604	hypothetical protein		
Function unknown	VOG30605	hypothetical protein		
Function unknown	VOG30606	hypothetical protein		
Function unknown	VOG30607	hypothetical protein		
Function unknown	VOG30608	ATPase		
Function unknown	VOG30609	hypothetical protein		
Function unknown	VOG30610	hypothetical protein		
Function unknown	VOG30611	hypothetical protein		
Function unknown	VOG30612	hypothetical protein		
Function unknown	VOG30613	gp654		
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus	VOG30614	Releasin protein		RLEAS_BPMU
Function unknown	VOG30615	hypothetical protein		
Function unknown	VOG30616	hypothetical protein		
Function unknown	VOG30617	hypothetical protein		
Function unknown	VOG30618	hypothetical protein		
Function unknown	VOG30619	hypothetical protein		
Function unknown	VOG30620	hypothetical protein		
Function unknown	VOG30621	hypothetical protein		
Function unknown	VOG30622	hypothetical protein		
Function unknown	VOG30623	hypothetical protein		
Function unknown	VOG30624	putative orfan		
Function unknown	VOG30625	hypothetical protein		
Function unknown	VOG30626	hypothetical protein		
Function unknown	VOG30627	gp38		
Function unknown	VOG30628	hypothetical protein		
Function unknown	VOG30629	hypothetical protein		
Function unknown	VOG30630	hypothetical protein		
Function unknown	VOG30631	hypothetical protein		
Function unknown	VOG30632	hypothetical protein		
Function unknown	VOG30633	hypothetical protein		
Function unknown	VOG30634	hypothetical protein		
Function unknown	VOG30635	hypothetical protein		
Function unknown	VOG30636	hypothetical protein		
Function unknown	VOG30637	hypothetical protein		
Function unknown	VOG30638	baseplate wedge subunit		
Function unknown	VOG30639	hypothetical protein		
Function unknown	VOG30640	hypothetical protein		
Function unknown	VOG30641	endolysin		
Function unknown	VOG30642	hypothetical protein		
Function unknown	VOG30643	hypothetical protein		
Function unknown	VOG30644	hypothetical protein		
Function unknown	VOG30645	hypothetical protein		
Function unknown	VOG30646	hypothetical protein		
Function unknown	VOG30647	hypothetical protein		
Function unknown	VOG30648	ORF046		
Function unknown	VOG30649	hypothetical protein		
Function unknown	VOG30650	hypothetical protein		
Function unknown	VOG30651	hypothetical protein		
Function unknown	VOG30652	hypothetical protein		
Function unknown	VOG30653	hypothetical protein		
Function unknown	VOG30654	hypothetical protein		
Function unknown	VOG30655	hypothetical protein		
Function unknown	VOG30656	nuclear antigen LANA-1		
Function unknown	VOG30657	hypothetical protein		
Function unknown	VOG30658	hypothetical protein		
Function unknown	VOG30659	hypothetical protein		
Function unknown	VOG30660	hypothetical protein		
Function unknown	VOG30661	hypothetical protein		
Function unknown	VOG30662	hypothetical protein		
Function unknown	VOG30663	hypothetical protein		
Function unknown	VOG30664	hypothetical protein		
Function unknown	VOG30665	hypothetical protein		
Function unknown	VOG30666	hypothetical protein		
Function unknown	VOG30667	putative orfan		
Function unknown	VOG30668	hypothetical protein		
Function unknown	VOG30669	leader		
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus	VOG30670	Glycyl-dTMP PLP-dependent decarboxylase		PLP_BPPM6
Function unknown	VOG30671	minor tail protein		
Function unknown	VOG30672	hypothetical protein		
Function unknown	VOG30673	hypothetical protein		
Function unknown	VOG30674	putative orfan		
Function unknown	VOG30675	hypothetical protein		
Function unknown	VOG30676	hypothetical protein		
Function unknown	VOG30677	hypothetical protein		
Function unknown	VOG30678	hypothetical protein		
Function unknown	VOG30679	hypothetical protein		
Function unknown	VOG30680	amidase		
Function unknown	VOG30681	hypothetical protein		
Function unknown	VOG30682	hypothetical protein		
Function unknown	VOG30683	hypothetical protein		
Function unknown	VOG30684	Uncharacterized protein ORF107a		Y107A_ABVP
Function unknown	VOG30685	hypothetical protein		
Function unknown	VOG30686	hypothetical protein		
Function unknown	VOG30687	hypothetical protein		
