L1	L2	L3	L4	ID	Function	EC
Signal transduction mechanisms		GdpP		COG3887	Cyclic di-AMP phosphodiesterase GdpP, contains GGDEF-like and DHH domains	
Transcription				COG3888	Predicted transcriptional regulator	
General function prediction only				COG3889	Extracellular solute-binding protein, contains Ig-fold domain	
Lipid transport and metabolism	Isoprenoid biosynthesis	ERG8		COG3890	Phosphomevalonate kinase	
Carbohydrate transport and metabolism		IolC		COG3892	Myo-inositol catabolism protein LolC	
Replication, recombination and repair				COG3893	Inactivated superfamily I helicase	
Function unknown			4C1N	COG3894	Uncharacterized 2Fe-2S and 4Fe-4S clusters-containing protein, contains DUF4445 domain	
Cell wall/membrane/envelope biogenesis		MliC	2F09	COG3895	Membrane-bound inhibitor of C-type lysozyme	
Defense mechanisms			1GRQ	COG3896	Chloramphenicol 3-O-phosphotransferase	
Posttranslational modification, protein turnover, chaperones		Nnt1	3BZB	COG3897	Protein N-terminal and lysine N-methylase, NNT1/EFM7 family	
Function unknown		HemYx		COG3898	Uncharacterized protein HemY, contains HemY_N domain and TPR repeats (unrelated to HemY-type protoporphyrinogen oxidase)	
General function prediction only				COG3899	Predicted ATPase	
Function unknown				COG3900	Predicted periplasmic protein	
Transcription		NosR		COG3901	Transcriptional regulator NosR of nitric oxide reductase	
General function prediction only				COG3903	Predicted ATPase	
Function unknown				COG3904	Predicted periplasmic protein	
Transcription		PutA1	6IYA	COG3905	Predicted transcriptional regulator, contains ribbon-helix-helix (RHH_1) domain	
Function unknown		YrzB		COG3906	Uncharacterized conserved protein YrzB, UPF0473 family	
General function prediction only				COG3907	Membrane-associated enzyme, PAP2 (acid phosphatase) superfamily	
Function unknown				COG3908	Uncharacterized conserved protein, DUF2093 domain	
Energy production and conversion		CytC556	1E83	COG3909	Cytochrome c556	
General function prediction only				COG3910	Predicted ATPase	
General function prediction only				COG3911	Predicted ATPase	
Signal transduction mechanismsIntracellular trafficking, secretion, and vesicular transport		SciT	2QNU	COG3913	Regulator of T6SS expression TagF, TagF/ImpM/SciT family (unrelated to teichoic acid polymerase TagF of B.subtilis, COG1887)	
Posttranslational modification, protein turnover, chaperones		Spy	2JLB	COG3914	Predicted O-linked N-acetylglucosamine transferase, SPINDLY family	
Function unknown				COG3915	Uncharacterized conserved protein	
Signal transduction mechanisms		LasI	1K4J	COG3916	N-acyl-homoserine lactone synthase LasI (autoinducer biosynthesis)	
Secondary metabolites biosynthesis, transport and catabolism		NahD		COG3917	2-hydroxychromene-2-carboxylate isomerase	
Function unknown				COG3918	Uncharacterized membrane protein	
General function prediction only				COG3919	Predicted ATP-dependent carboligase, ATP-grasp superfamily	
Signal transduction mechanisms			4R39	COG3920	Two-component sensor histidine kinase, HisKA and HATPase domains	
Function unknown				COG3921	Uncharacterized conserved protein, contains Extensin-like_C domain	
Replication, recombination and repair		PriC	2NCJ	COG3923	Primosomal replication protein N''	
Function unknown		YhdT		COG3924	Uncharacterized membrane protein YhdT	
Carbohydrate transport and metabolismSignal transduction mechanisms		FruA		COG3925	N-terminal domain of the PTS fructose-specific IIB component	
General function prediction only		ZliS	2IKB	COG3926	Lysozyme family protein	
Function unknown				COG3930	Uncharacterized conserved protein, DUF1704 domain	
Amino acid transport and metabolism		HutG2	2ODF	COG3931	Predicted N-formylglutamate amidohydrolase	
Cell wall/membrane/envelope biogenesis		ExoD		COG3932	Exopolysaccharide synthesis protein ExoD	
Transcription		LevR		COG3933	Transcriptional regulatory protein LevR, contains PRD, AAA+ and EIIA domains	
Carbohydrate transport and metabolism			3PZ9	COG3934	Endo-1,4-beta-mannosidase	
Replication, recombination and repair		DnaD	2I5U	COG3935	DNA replication protein DnaD	
Carbohydrate transport and metabolism		YfiQ		COG3936	Membrane-bound acyltransferase YfiQ, involved in biofilm formation	
Secondary metabolites biosynthesis, transport and catabolismSignal transduction mechanisms		PhaF		COG3937	Polyhydroxyalkanoate synthesis regulator phasin	
Amino acid transport and metabolism		PrdF	1TM0	COG3938	Proline racemase/hydroxyproline epimerase	
Carbohydrate transport and metabolism				COG3940	Beta-xylosidase, GH43 family	
Mobilome: prophages, transposons		HI1514		COG3941	Phage tail tape-measure protein, controls tail length	
Cell wall/membrane/envelope biogenesis			1QWY	COG3942	Surface antigen	
Function unknown		RhuM		COG3943	Uncharacterized protein RhuM, Salmonella virulence factor	
Cell wall/membrane/envelope biogenesis		YveK		COG3944	Capsular polysaccharide biosynthesis protein YveK	
General function prediction only				COG3945	Hemerythrin domain	
Intracellular trafficking, secretion, and vesicular transport		VirJ		COG3946	Type IV secretory pathway, VirJ component	
Signal transduction mechanismsTranscription		SAPR		COG3947	Two-component response regulator, SAPR family, consists of REC, wHTH and BTAD domains	
Mobilome: prophages, transposons			5CES	COG3948	Phage-related baseplate assembly protein	
Function unknown		YkvI		COG3949	Uncharacterized membrane protein YkvI	
General function prediction only				COG3950	Predicted ATP-binding protein involved in virulence	
Cell motility		FlgJ1		COG3951	Rod binding protein domain	
General function prediction only		LABN		COG3952	Uncharacterized N-terminal domain of lipid-A-disaccharide synthase	
Mobilome: prophages, transposons		SLT		COG3953	SLT domain protein	
Carbohydrate transport and metabolism		PrkB	1A7J	COG3954	Phosphoribulokinase	
Cell wall/membrane/envelope biogenesis			2G6T	COG3955	Uncharacterized conserved protein, DUF1919 family	
General function prediction only		YabN		COG3956	Uncharacterized conserved protein YabN, contains tetrapyrrole methylase and MazG-like pyrophosphatase domain	
Carbohydrate transport and metabolism		XFP	3AHC	COG3957	Phosphoketolase	
Carbohydrate transport and metabolism		TktA2		COG3958	Transketolase, C-terminal subunit	
Carbohydrate transport and metabolism		TktA1		COG3959	Transketolase, N-terminal subunit	
Secondary metabolites biosynthesis, transport and catabolism		Gcl		COG3960	Glyoxylate carboligase	
Carbohydrate transport and metabolismCoenzyme transport and metabolismGeneral function prediction only	Pyruvate oxidation	PDC1	1PYD	COG3961	TPP-dependent 2-oxoacid decarboxylase, includes indolepyruvate decarboxylase	
Carbohydrate transport and metabolism		IolD		COG3962	TPP-dependent trihydroxycyclohexane-1,2-dione (THcHDO) dehydratase, myo-inositol metabolism	
Lipid transport and metabolism				COG3963	Phosphatidylethanolamine N-methyltransferase	
General function prediction only			2OGJ	COG3964	Predicted amidohydrolase	
Inorganic ion transport and metabolism				COG3965	Predicted Co/Zn/Cd cation transporter, cation efflux family	
Cell wall/membrane/envelope biogenesis		DltD	3BMA	COG3966	Poly-D-alanine transfer protein DltD, involved in esterification of teichoic acids	
Cell wall/membrane/envelope biogenesisLipid transport and metabolism		DltE		COG3967	Short-chain dehydrogenase involved in D-alanine esterification of teichoic acids	
Amino acid transport and metabolism		GlnA3		COG3968	Glutamine synthetase type III	
General function prediction only		YbdN		COG3969	Predicted phosphoadenosine phosphosulfate sulfurtransferase, contains C-terminal DUF3440 domain	
General function prediction only			2Q18	COG3970	Fumarylacetoacetate (FAA) hydrolase family protein	
Secondary metabolites biosynthesis, transport and catabolism		MhpD	1SV6	COG3971	2-keto-4-pentenoate hydratase	
Replication, recombination and repair				COG3972	Superfamily I DNA and RNA helicases	
Replication, recombination and repair		HelD		COG3973	DNA helicase IV	
General function prediction only			4FGM	COG3975	Predicted metalloprotease, contains C-terminal PDZ domain	
General function prediction only				COG3976	Uncharacterized conserved protein, contains FMN-binding domain	
Amino acid transport and metabolism		AvtA	3G7Q	COG3977	Alanine-alpha-ketoisovalerate (or valine-pyruvate) aminotransferase	
Amino acid transport and metabolism		IlvM		COG3978	Acetolactate synthase small subunit, contains ACT domain	
Carbohydrate transport and metabolism			1WVU	COG3979	Chitodextrinase	
Cell wall/membrane/envelope biogenesis		SpsG		COG3980	Spore coat polysaccharide biosynthesis protein SpsG, predicted glycosyltransferase	
General function prediction only				COG3981	Predicted acetyltransferase	
Function unknown				COG4001	Uncharacterized conserved protein	
General function prediction only				COG4002	Predicted methyltransferase MtxX, methanogen marker protein 4	
Function unknown				COG4003	Uncharacterized conserved protein, DUF2095 family	
Function unknown			2JOI	COG4004	Uncharacterized protein, contains DUF5611 domain	
Defense mechanisms	CRISPR-Cas system	Csm6	3QYF	COG4006	CRISPR-Cas system-associated protein Csm6, contains CARF domain	
General function prediction only			4YT2	COG4007	Predicted dehydrogenase related to H2-forming N5,N10-methylenetetrahydromethanopterin dehydrogenase	
Transcription				COG4008	Predicted metal-binding transcription factor, methanogenesis marker domain 9	
Function unknown			1IQO	COG4009	Uncharacterized conserved protein, DUF749 domain	
Function unknown				COG4010	Uncharacterized conserved protein, DUF2096 domain	
General function prediction only		AF0413		COG4012	Uncharacterized protein, DUF1786 family, actin-like ATPase superfamily	
Function unknown				COG4013	Uncharacterized conserved protein, DUF2097 domain	
Function unknown				COG4014	Uncharacterized protein MTH814, DUF2098 family	
General function prediction only				COG4015	Predicted dinucleotide-utilizing enzyme of the ThiF/HesA family	
Coenzyme transport and metabolism		HcgF	3WVA	COG4016	Iron-guanylylpyridinol (FeGP) cofactor biosynthesis protein HcgF, CinA family	
Coenzyme transport and metabolism		HcgC	5D4T	COG4017	Iron-guanylylpyridinol (FeGP) cofactor biosynthesis protein, methyltransferase HcgC	
Coenzyme transport and metabolism		HcgG		COG4018	Iron-guanylylpyridinol (FeGP) cofactor biosynthesis protein, fibrillarin family	
Coenzyme transport and metabolism		HcgB	3BRC	COG4019	Iron-guanylylpyridinol (FeGP) cofactor biosynthesis protein HcgB, guanylyltransferase	
General function prediction only		MK0078		COG4020	Predicted ATPase/kinase of ASKHA (acetate and sugar kinases, HSC70, actin) superfamily	
Translation, ribosomal structure and biogenesis	tRNA modification	Thg1	3OTB	COG4021	tRNA(His) 5'-end guanylyltransferase	
Function unknown				COG4022	Uncharacterized conserved protein, DUF2099 domain	
Intracellular trafficking, secretion, and vesicular transport		SBH1		COG4023	Preprotein translocase subunit SecG (Sec61beta)	
Function unknown			3WKR	COG4024	Uncharacterized conserved protein, DUF2100 domain	
General function prediction only		MTH423		COG4025	Uncharacterized conserved protein MTH423, predicted component of type IV pili-like system, DUF2101 family	
General function prediction only				COG4026	Uncharacterized conserved protein, contains TOPRIM domain, potential nuclease	
Nucleotide transport and metabolism				COG4027	3'-phosphoadenosine 5'-phosphosulfate sulfotransferase	
General function prediction only				COG4028	Predicted P-loop ATPase/GTPase	
Function unknown				COG4029	Uncharacterized conserved protein MJ0498	
General function prediction only			1Y8A	COG4030	Predicted phosphohydrolase, HAD superfamily	
Function unknown				COG4031	Uncharacterized metal-binding protein, DUF2103 family	
Coenzyme transport and metabolism				COG4032	Sulfopyruvate decarboxylase, TPP-binding subunit (coenzyme M biosynthesis)	
Function unknown			1Z9V	COG4033	Uncharacterized conserved protein MJ0453	
Function unknown				COG4034	Uncharacterized conserved protein, DUF1152 domain	
Energy production and conversion		EhaL		COG4035	Energy-converting hydrogenase Eha subunit L	
Energy production and conversion		EhaG		COG4036	Energy-converting hydrogenase Eha subunit G	
Energy production and conversion		EhaF		COG4037	Energy-converting hydrogenase Eha subunit F	
Energy production and conversion		EhaE		COG4038	Energy-converting hydrogenase Eha subunit E	
Energy production and conversion		EhaD		COG4039	Energy-converting hydrogenase Eha subunit D	
Energy production and conversion		EhaC		COG4040	Energy-converting hydrogenase Eha subunit C	
Energy production and conversion		EhaB		COG4041	Energy-converting hydrogenase Eha subunit B	
Energy production and conversion		EhaA		COG4042	Energy-converting hydrogenase Eha subunit A	
General function prediction only		ASCH	1S04	COG4043	ASC-1 homology (ASCH) domain, predicted RNA-binding domain	
Function unknown				COG4044	Uncharacterized conserved protein, DUF2110 domain	
Function unknown				COG4046	Uncharacterized protein, contains DUF1512 domain	
Replication, recombination and repair			1XG7	COG4047	N-glycosylase/DNA lyase (8-oxoguanine DNA glycosylase)	
Function unknown				COG4048	Uncharacterized conserved protein, DUF2111 domain	
General function prediction only				COG4049	Uncharacterized conserved protein, contains archaeal-type C2H2 Zn-finger	
Function unknown				COG4050	Uncharacterized conserved protein, DUF2112 domain	
Function unknown				COG4051	Uncharacterized conserved protein MJ0802, methanogenesis marker protein 17, contains DUF2113 domain	
General function prediction only				COG4052	Uncharacterized conserved protein related to methyl-CoM reductase subunit C, methanogenesis marker protein 7	
Function unknown				COG4053	Uncharacterized conserved protein	
Coenzyme transport and metabolism		McorB	5N28	COG4054	Methyl coenzyme M reductase, beta subunit	
Coenzyme transport and metabolism		McorD		COG4055	Methyl coenzyme M reductase, subunit D	
Coenzyme transport and metabolism		McorC		COG4056	Methyl coenzyme M reductase, subunit C	
Coenzyme transport and metabolism		McorG	5N1Q	COG4057	Methyl coenzyme M reductase, gamma subunit	
Coenzyme transport and metabolism		McorA	1E6V	COG4058	Methyl coenzyme M reductase, alpha subunit	
Coenzyme transport and metabolism		MtrE		COG4059	Tetrahydromethanopterin S-methyltransferase, subunit E	
Coenzyme transport and metabolism		MtrD		COG4060	Tetrahydromethanopterin S-methyltransferase, subunit D	
Coenzyme transport and metabolism		MtrC		COG4061	Tetrahydromethanopterin S-methyltransferase, subunit C	
Coenzyme transport and metabolism		MtrB		COG4062	Tetrahydromethanopterin S-methyltransferase, subunit B	
Coenzyme transport and metabolism		MtrA	5L8X	COG4063	Tetrahydromethanopterin S-methyltransferase, subunit A	
Coenzyme transport and metabolism		MtrG		COG4064	Tetrahydromethanopterin S-methyltransferase, subunit G	
Function unknown				COG4065	Uncharacterized conserved protein MJ1451	
Function unknown				COG4066	Uncharacterized conserved protein MTH_811, UPF0305 family	
Function unknown				COG4067	Uncharacterized conserved protein	
General function prediction only				COG4068	Predicted nucleic acid-binding protein, contains Zn-ribbon domain	
Function unknown				COG4069	Uncharacterized conserved protein, DUF2117 domain	
General function prediction only		MJ1412		COG4070	Cyclophilin family protein MJ1412, methanogenesis marker protein 3	
General function prediction only			2PHN	COG4071	Gamma-glutamyl ligase family protein MJ1361	
Function unknown			3D4R	COG4072	Uncharacterized conserved protein, DUF2118 domain	
Function unknown				COG4073	Uncharacterized conserved protein MJ0501	
Energy production and conversion		Mth	2B0J	COG4074	5,10-methenyltetrahydromethanopterin hydrogenase	
Function unknown				COG4075	Uncharacterized conserved protein MJ1244, distantly related to nitrogen regulatory protein PII	
General function prediction only				COG4076	Predicted RNA methylase	
Function unknown				COG4077	Uncharacterized conserved protein MJ0491	
Energy production and conversion		EhaH		COG4078	Energy-converting hydrogenase Eha subunit H	
Function unknown				COG4079	Uncharacterized conserved protein, DUF2121 domain	
Translation, ribosomal structure and biogenesis				COG4080	SpoU rRNA methylase family enzyme	
Function unknown			1KJN	COG4081	Uncharacterized conserved protein MJ0452	
Intracellular trafficking, secretion, and vesicular transport				COG4083	Exosortase/Archaeosortase	
Energy production and conversion		EhaM	1NXH	COG4084	Energy-converting hydrogenase A subunit M	
RNA processing and modification		YhcR		COG4085	DNA/RNA endonuclease YhcR, contains UshA esterase domain	
Function unknown		YpuA		COG4086	Uncharacterized conserved protein YpuA, DUF1002 family	
General function prediction only				COG4087	Soluble P-type ATPase	
Translation, ribosomal structure and biogenesisDefense mechanisms		Kti12	3A4L	COG4088	tRNA uridine 5-carbamoylmethylation protein Kti12 (Killer toxin insensitivity protein)	
Function unknown				COG4089	Uncharacterized membrane protein	
Function unknown			2R47	COG4090	Uncharacterized conserved protein MTH_862	
Amino acid transport and metabolism			3UPL	COG4091	Predicted homoserine dehydrogenase, contains C-terminal SAF domain	
Cell wall/membrane/envelope biogenesis				COG4092	Predicted glycosyltransferase involved in capsule biosynthesis	
Function unknown				COG4093	Uncharacterized conserved protein, DUF2125 domain	
Function unknown				COG4094	Uncharacterized membrane protein	
Carbohydrate transport and metabolism		SWEET		COG4095	Sugar transporter, SemiSWEET family, contains PQ motif	
Defense mechanisms		HsdR	3H1T	COG4096	Type I site-specific restriction endonuclease, part of a restriction-modification system	
Inorganic ion transport and metabolism				COG4097	Predicted ferric reductase	
Replication, recombination and repair		ComFA		COG4098	Superfamily II DNA/RNA helicase required for DNA uptake (late competence protein)	
General function prediction only			3DOH	COG4099	Predicted peptidase	
Inorganic ion transport and metabolismGeneral function prediction only		YnbB	3FD0	COG4100	Cystathionine beta-lyase family protein involved in aluminum resistance	
General function prediction only		RmlC		COG4101	Uncharacterized conserved protein, RmlC-like cupin domain	
Function unknown				COG4102	Uncharacterized conserved protein, DUF1501 family	
Inorganic ion transport and metabolism		TerB2	2JXU	COG4103	Tellurite resistance protein TerB	
Intracellular trafficking, secretion, and vesicular transport		PAAR	4JIV	COG4104	Zn-binding Pro-Ala-Ala-Arg (PAAR) domain, involved in Type VI secretion	
Cell wall/membrane/envelope biogenesis		BamD	2YHC	COG4105	Outer membrane protein assembly factor BamD, BamD/ComL family	
Energy production and conversion		Tam	2P35	COG4106	Trans-aconitate methyltransferase	
Inorganic ion transport and metabolism		PhnK		COG4107	ABC-type phosphonate transport system, ATPase component PhnK	
Translation, ribosomal structure and biogenesis	Translation factors	PrfC	3UOQ	COG4108	Peptide chain release factor RF-3	
Transcription		YtoI		COG4109	Predicted transcriptional regulator containing CBS domains	
Defense mechanisms		TerA		COG4110	Tellurium resistance protein TerA/TerD	
Function unknown				COG4111	Uncharacterized conserved protein	
General function prediction only		YmaB	3E57	COG4112	Predicted phosphoesterase YmaB, NUDIX family	
Defense mechanisms		VapC	1V8O	COG4113	RNA interferase (RNase) VapC, contains PIN domain	
Inorganic ion transport and metabolism		FhuF		COG4114	Ferric iron reductase protein FhuF, involved in iron transport	
Defense mechanisms			2A6Q	COG4115	Toxin component of the Txe-Axe toxin-antitoxin module, Txe/YoeB family	
General function prediction only		YjbK	2GFG	COG4116	Predicted triphosphatase or cyclase YjbK, contains CYTH domain	
Inorganic ion transport and metabolism		YdhU		COG4117	Thiosulfate reductase cytochrome b subunit	
Defense mechanisms		Phd	3DBO	COG4118	Antitoxin component of toxin-antitoxin stability system, DNA-binding transcriptional repressor	
Nucleotide transport and metabolismGeneral function prediction only				COG4119	Predicted NTP pyrophosphohydrolase, NUDIX family	
General function prediction only				COG4120	ABC-type uncharacterized transport system, permease component	
Translation, ribosomal structure and biogenesis	tRNA modification	MnmC	3AWI	COG4121	tRNA U34 5-methylaminomethyl-2-thiouridine-forming methyltransferase MnmC	
Translation, ribosomal structure and biogenesis	tRNA modification	TrmR	1H1D	COG4122	tRNA 5-hydroxyU34 O-methylase TrmR/YrrM	
Translation, ribosomal structure and biogenesis	tRNA modification	TrmN6		COG4123	tRNA1(Val) A37 N6-methylase TrmN6	
Carbohydrate transport and metabolism		ManB2	1GVY	COG4124	Beta-mannanase	
Function unknown				COG4125	Uncharacterized membrane protein	
Amino acid transport and metabolism		Dcg1		COG4126	Asp/Glu/hydantoin racemase	
General function prediction only				COG4127	Predicted restriction endonuclease, Mrr-cat superfamily	
General function prediction only		Zot		COG4128	Zona occludens toxin, predicted ATPase	
Function unknown		YgaE		COG4129	Uncharacterized membrane protein YgaE, UPF0421/DUF939 family	
Carbohydrate transport and metabolism				COG4130	Predicted sugar epimerase, xylose isomerase-like family	
General function prediction only				COG4132	ABC-type uncharacterized transport system, permease component	
Posttranslational modification, protein turnover, chaperones		CcmA		COG4133	ABC-type transport system involved in cytochrome c biogenesis, ATPase component	
General function prediction only		YnjB		COG4134	ABC-type uncharacterized transport system YnjBCD, periplasmic component	
General function prediction only		YnjC		COG4135	ABC-type uncharacterized transport system YnjBCD, permease component	
General function prediction only		YnjD		COG4136	ABC-type uncharacterized transport system YnjBCD, ATPase component	
General function prediction only		YpjD		COG4137	ABC-type uncharacterized transport system, permease component	
Coenzyme transport and metabolism		BtuD	4FI3	COG4138	ABC-type cobalamin transport system, ATPase component BtuD	
Coenzyme transport and metabolism		BtuC	1L7V	COG4139	ABC-type cobalamin transport system, permease component BtuC	
Coenzyme transport and metabolism		TbpA	2QRY	COG4143	ABC-type thiamine transport system, periplasmic component TbpA	
Coenzyme transport and metabolism		PanF		COG4145	Na+/panthothenate symporter	
General function prediction only		YidK	2XQ2	COG4146	Uncharacterized membrane permease YidK, sodium:solute symporter family	
Energy production and conversion		ActP		COG4147	Na+(or H+)/acetate symporter ActP	
Inorganic ion transport and metabolism	Molybdopterin biosynthesis	ModC		COG4148	ABC-type molybdate transport system, ATPase component ModC	
Inorganic ion transport and metabolism	Molybdopterin biosynthesis	ModB		COG4149	ABC-type molybdate transport system, permease component ModB	
Inorganic ion transport and metabolism		CysP		COG4150	ABC-type sulfate transport system, periplasmic component	
General function prediction only		YhaQ		COG4152	ABC-type uncharacterized transport system, ATPase component	
Carbohydrate transport and metabolism		FucU	2WCV	COG4154	L-fucose mutarotase/ribose pyranase, RbsD/FucU family	
General function prediction only				COG4158	Predicted ABC-type sugar transport system, permease component	
Amino acid transport and metabolism		ArtM		COG4160	ABC-type arginine/histidine transport system, permease component	
Amino acid transport and metabolism		ArtP		COG4161	ABC-type arginine transport system, ATPase component	
Amino acid transport and metabolism		OppA	1B05	COG4166	ABC-type oligopeptide transport system, periplasmic component	
Defense mechanisms		SapF		COG4167	ABC-type antimicrobial peptide export system, ATPase component SapF	
Defense mechanisms		SapB		COG4168	ABC-type antimicrobial peptide export system, permease component SapB	
Defense mechanisms		SapD		COG4170	ABC-type antimicrobial peptide export system, ATPase component SapD	
Defense mechanisms		SapC		COG4171	ABC-type antimicrobial peptide export system, permease component SapC	
Secondary metabolites biosynthesis, transport and catabolism		YejF		COG4172	ABC-type microcin C transport system, duplicated ATPase component YejF	
Secondary metabolites biosynthesis, transport and catabolism		YejB		COG4174	ABC-type microcin C transport system, permease component YejB	
Amino acid transport and metabolism		ProV		COG4175	ABC-type proline/glycine betaine transport system, ATPase component	
Amino acid transport and metabolism		ProW		COG4176	ABC-type proline/glycine betaine transport system, permease component	
Amino acid transport and metabolism		LivM		COG4177	ABC-type branched-chain amino acid transport system, permease component	
General function prediction only		YddA	6JBJ	COG4178	ABC-type uncharacterized transport system, permease and ATPase components	
Secondary metabolites biosynthesis, transport and catabolism		YbbA		COG4181	Predicted ABC-type transport system involved in lysophospholipase L1 biosynthesis, ATPase component	
General function prediction only				COG4185	Predicted ABC-type ATPase or kinase	
General function prediction only			1XM7	COG4186	Uncharacterized conserved protein MJ1445, calcineurin-like phosphoesterase superfamily	
Amino acid transport and metabolism		RocB		COG4187	Arginine utilization protein RocB	
General function prediction only				COG4188	Predicted dienelactone hydrolase	
Transcription				COG4189	Predicted transcriptional regulator, ArsR family	
Transcription				COG4190	Predicted transcriptional regulator, contains HTH domain	
Signal transduction mechanisms			4GCZ	COG4191	Signal transduction histidine kinase regulating C4-dicarboxylate transport system	
Signal transduction mechanisms				COG4192	Signal transduction histidine kinase regulating phosphoglycerate transport system	
Carbohydrate transport and metabolism		LytD	6FXO	COG4193	Beta- N-acetylglucosaminidase	
Function unknown				COG4194	Uncharacterized membrane protein, DUF1648 family	
Mobilome: prophages, transposons		YjqB	3A9L	COG4195	Phage-related replication protein YjqB, UPF0714/DUF867 family	
Function unknown				COG4196	Uncharacterized conserved protein, DUF2126 family	
Transcription		YdaS		COG4197	DNA-binding transcriptional regulator YdaS, prophage-encoded, Cro superfamily	
Function unknown				COG4198	Uncharacterized conserved protein, DUF1015 family	
Replication, recombination and repair		RecJ		COG4199	ssDNA-specific exonuclease RecJ	
Defense mechanisms		EfiE		COG4200	Predicted lantabiotic-exporting membrane pepmease, EfiE/EfiG/ABC2 family	
Coenzyme transport and metabolism		BtuB	1NQE	COG4206	Outer membrane cobalamin receptor protein BtuB	
Inorganic ion transport and metabolism		CysW		COG4208	ABC-type sulfate transport system, permease component	
Carbohydrate transport and metabolism		LplB	4TQU	COG4209	ABC-type polysaccharide transport system, permease component	
Carbohydrate transport and metabolism		MglC		COG4211	ABC-type glucose/galactose transport system, permease component	
Carbohydrate transport and metabolism		XylF	4YWH	COG4213	ABC-type xylose transport system, periplasmic component	
Carbohydrate transport and metabolism		XylH		COG4214	ABC-type xylose transport system, permease component	
Amino acid transport and metabolism		ArtQ		COG4215	ABC-type arginine transport system, permease component	
Coenzyme transport and metabolism		MtrF		COG4218	Tetrahydromethanopterin S-methyltransferase, subunit F	
Signal transduction mechanisms		MecR1		COG4219	Signal transducer regulating beta-lactamase production, contains metallopeptidase domain	
Mobilome: prophages, transposons		Nu1	1J9I	COG4220	Phage DNA packaging protein, Nu1 subunit of terminase	
Energy production and conversion	Pyrimidine degradation	YdfG	3P19	COG4221	NADP-dependent 3-hydroxy acid dehydrogenase YdfG	
Function unknown				COG4222	Uncharacterized conserved protein, contains a phytase-like domain	
Function unknown				COG4223	Uncharacterized conserved protein	
Function unknown		YnzC	2HEP	COG4224	Uncharacterized conserved protein YnzC, UPF0291/DUF896 family	
Carbohydrate transport and metabolism		YesR	1NC5	COG4225	Rhamnogalacturonyl hydrolase YesR	
General function prediction only		HicB		COG4226	Predicted nuclease of the RNAse H fold, HicB family	
Replication, recombination and repair		ArdC		COG4227	Antirestriction protein ArdC	
Mobilome: prophages, transposons				COG4228	Mu-like prophage DNA circulation protein	
Amino acid transport and metabolism		Utr4	2G80	COG4229	Enolase-phosphatase E1 involved in merthionine salvage	
Amino acid transport and metabolism		PutA2	5KF6	COG4230	Delta 1-pyrroline-5-carboxylate dehydrogenase	
Energy production and conversion		IorA		COG4231	TPP-dependent indolepyruvate ferredoxin oxidoreductase, alpha subunit	
Posttranslational modification, protein turnover, chaperones		DsbD	1JPE	COG4232	Thiol:disulfide interchange protein DsbD	
Posttranslational modification, protein turnover, chaperonesEnergy production and conversion				COG4233	Thiol-disulfide interchange protein, contains DsbC and DsbD domains	
Energy production and conversionPosttranslational modification, protein turnover, chaperones		NrfG		COG4235	Cytochrome c-type biogenesis protein CcmH/NrfG	
Energy production and conversion		HyfE		COG4237	Hydrogenase-4 membrane subunit HyfE	
Cell wall/membrane/envelope biogenesis		Lpp	1EQ7	COG4238	Outer membrane murein-binding lipoprotein Lpp	
Secondary metabolites biosynthesis, transport and catabolism		YejE		COG4239	ABC-type microcin C transport system, permease component YejE	
General function prediction only		Tda10	1ODF	COG4240	Pantothenate kinase-related protein Tda10 (topoisomerase I damage affected protein)	
Function unknown		YybS		COG4241	Uncharacterized conserved protein YybS, DUF2232 family	
Secondary metabolites biosynthesis, transport and catabolismGeneral function prediction only		CphB	3EN0	COG4242	Cyanophycinase and related exopeptidases	
General function prediction only			3KP9	COG4243	Vitamin K epoxide reductase (VKOR) family protein, predicted involvement in disulfide bond formation	
Function unknown				COG4244	Uncharacterized membrane protein	
Function unknown		TerY		COG4245	Uncharacterized conserved protein YegL, contains vWA domain of TerY type	
Function unknown				COG4246	Uncharacterized conserved protein, contains a phytase-like domain	
Lipid transport and metabolism		Phy	1CVM	COG4247	3-phytase (myo-inositol-hexaphosphate 3-phosphohydrolase)	
General function prediction only		YegI		COG4248	Uncharacterized conserved protein YegI with protein kinase and helix-hairpin-helix DNA-binding domains	
General function prediction only			3UO8	COG4249	Uncharacterized conserved protein, contains caspase domain	
Signal transduction mechanisms		DICT		COG4250	DICT sensory domain found in diguanylate cyclases and two-component systems	
Signal transduction mechanisms			2VEA	COG4251	Bacteriophytochrome (light-regulated signal transduction histidine kinase)	
Signal transduction mechanisms		CHASE2		COG4252	Extracytoplasmic sensor domain CHASE2 (specificity unknown)	
Function unknown			6SJL	COG4253	Uncharacterized conserved protein, DUF2345 family	
General function prediction only				COG4254	Uncharacterized peptidoglycan binding protein, contains LysM and FecR  domains	
Function unknown				COG4255	Uncharacterized conserved protein	
Coenzyme transport and metabolism		HemP	2JRA	COG4256	Hemin uptake protein HemP	
Defense mechanisms		Vgb		COG4257	Streptogramin lyase	
General function prediction only				COG4258	Predicted exporter	
Function unknown				COG4259	Uncharacterized conserved protein, DUF4810 domain	
Posttranslational modification, protein turnover, chaperones		YdjI		COG4260	Membrane protease subunit, stomatin/prohibitin family, contains C-terminal Zn-ribbon domain	
General function prediction only				COG4261	Predicted acyltransferase, LPLAT superfamily	
